search-number,evaluation,evals-requested-so-far,number_of_agents*,number_of_opinion_dimensions*,model*,boundary_mean*,set-seed?*,avoid_seed_control?*,boundary_distribution*,conformity_mean*,conformity_distribution*,boundary_std*,network_type*,scale_free_degree*,scale_free_selection-mu*,scale_free_selection-sigma*,scale_free_selection-distribution*,media_house_distribution*,number_of_media_houses*,media_house_distribution_normal_mean*,media_house_distribution_normal_std*,opinion_distribution*,opinion_mean*,opinion_std*,save_end_sim_data*,endsimdirectory*,use_media_influence_factor?*,media_influence_factor*,silence_alpha*,silence_tau*,silence_delta0*,classify_proponents_by_boundary?*,use_silence?*,random-seed,min-result,max-result,mean-result,stdev-result,final-step-result,triplet_id,triplet_mean,triplet_std,triplet_range
1,21,180,1000,1,"""HK""",0.02,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",4,0.5,-0.0999999999999999,"""uniform""","""deterministic-normal""",50,-0.2999999999999999,0.4,"""normal""",0.9000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,0.5,5,0.1,False,False,"""1135588192""",0.8214717962402022,0.8214717962402022,0.8214717962402022,0,0.8214717962402022,6,0.8230271903219433,0.0020526720357284998,0.004455767656437848
1,22,180,1000,1,"""HK""",0.27,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",3,0.7000000000000002,0.4000000000000001,"""uniform""","""deterministic-normal""",50,0.0,0.7000000000000001,"""normal""",0.3,0.2,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,1.0,10,-0.8,True,False,"""-660032072""",0.7979069026583404,0.7979069026583404,0.7979069026583404,0,0.7979069026583404,7,0.7979069026583404,0.0,0.0
1,23,180,1000,1,"""HK""",0.27,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",3,0.7000000000000002,0.4000000000000001,"""uniform""","""deterministic-normal""",50,0.0,0.7000000000000001,"""normal""",0.3,0.2,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,1.0,10,-0.8,True,False,"""1561065711""",0.7979069026583404,0.7979069026583404,0.7979069026583404,0,0.7979069026583404,7,0.7979069026583404,0.0,0.0
1,24,180,1000,1,"""HK""",0.27,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",3,0.7000000000000002,0.4000000000000001,"""uniform""","""deterministic-normal""",50,0.0,0.7000000000000001,"""normal""",0.3,0.2,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,1.0,10,-0.8,True,False,"""425614910""",0.7979069026583404,0.7979069026583404,0.7979069026583404,0,0.7979069026583404,7,0.7979069026583404,0.0,0.0
1,25,180,1000,1,"""HK""",0.02,False,True,"""normal""",1,"""constant""",0.5,"""Scale-free""",2,0.1,0.0,"""uniform""","""deterministic-normal""",10,0.8,0.2,"""normal""",-0.5,0.3,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.4,0.3,10,0.4000000000000001,False,False,"""1537559088""",0.7047356102253763,0.7047356102253763,0.7047356102253763,0,0.7047356102253763,8,0.6871465796463475,0.018539432038352382,0.043222052718158044
1,26,180,1000,1,"""HK""",0.02,False,True,"""normal""",1,"""constant""",0.5,"""Scale-free""",2,0.1,0.0,"""uniform""","""deterministic-normal""",10,0.8,0.2,"""normal""",-0.5,0.3,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.4,0.3,10,0.4000000000000001,False,False,"""144547266""",0.6615135575072183,0.6615135575072183,0.6615135575072183,0,0.6615135575072183,8,0.6871465796463475,0.018539432038352382,0.043222052718158044
1,27,180,1000,1,"""HK""",0.02,False,True,"""normal""",1,"""constant""",0.5,"""Scale-free""",2,0.1,0.0,"""uniform""","""deterministic-normal""",10,0.8,0.2,"""normal""",-0.5,0.3,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.4,0.3,10,0.4000000000000001,False,False,"""447935956""",0.6951905712064476,0.6951905712064476,0.6951905712064476,0,0.6951905712064476,8,0.6871465796463475,0.018539432038352382,0.043222052718158044
1,28,180,1000,1,"""HK""",0.12,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",4,0.3,0.0,"""uniform""","""deterministic-normal""",0,-0.3999999999999999,0.9,"""normal""",-0.0999999999999999,0.9,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.6000000000000001,0.9,4,-1.0,True,True,"""875947594""",0.7714101572908636,0.7714101572908636,0.7714101572908636,0,0.7714101572908636,9,0.7535413941390307,0.013219655640020965,0.03156438620754032
1,29,180,1000,1,"""HK""",0.12,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",4,0.3,0.0,"""uniform""","""deterministic-normal""",0,-0.3999999999999999,0.9,"""normal""",-0.0999999999999999,0.9,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.6000000000000001,0.9,4,-1.0,True,True,"""-903457852""",0.7493682540429054,0.7493682540429054,0.7493682540429054,0,0.7493682540429054,9,0.7535413941390307,0.013219655640020965,0.03156438620754032
1,30,180,1000,1,"""HK""",0.12,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",4,0.3,0.0,"""uniform""","""deterministic-normal""",0,-0.3999999999999999,0.9,"""normal""",-0.0999999999999999,0.9,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.6000000000000001,0.9,4,-1.0,True,True,"""1745453944""",0.7398457710833233,0.7398457710833233,0.7398457710833233,0,0.7398457710833233,9,0.7535413941390307,0.013219655640020965,0.03156438620754032
1,31,180,1000,1,"""HK""",0.14,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",1,0.0,1.0,"""uniform""","""deterministic-normal""",50,0.8,0.2,"""normal""",-0.1999999999999999,0.2,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.6000000000000001,0.2,2,0.6000000000000001,True,True,"""-1355958230""",0.8839045697127638,0.8839045697127638,0.8839045697127638,0,0.8839045697127638,10,0.8982154760087658,0.010758966189672729,0.025942015926136985
1,32,180,1000,1,"""HK""",0.14,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",1,0.0,1.0,"""uniform""","""deterministic-normal""",50,0.8,0.2,"""normal""",-0.1999999999999999,0.2,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.6000000000000001,0.2,2,0.6000000000000001,True,True,"""1540670529""",0.9098465856389008,0.9098465856389008,0.9098465856389008,0,0.9098465856389008,10,0.8982154760087658,0.010758966189672729,0.025942015926136985
1,33,180,1000,1,"""HK""",0.14,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",1,0.0,1.0,"""uniform""","""deterministic-normal""",50,0.8,0.2,"""normal""",-0.1999999999999999,0.2,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.6000000000000001,0.2,2,0.6000000000000001,True,True,"""221452782""",0.9008952726746332,0.9008952726746332,0.9008952726746332,0,0.9008952726746332,10,0.8982154760087658,0.010758966189672729,0.025942015926136985
1,34,180,1000,1,"""HK""",0.0699999999999999,False,True,"""normal""",1,"""constant""",0.5,"""Scale-free""",3,0.6000000000000001,-0.5,"""uniform""","""deterministic-normal""",20,0.3,0.9,"""normal""",0.4000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,0.5,6,-0.5,False,True,"""-2019493153""",0.8361223732941417,0.8361223732941417,0.8361223732941417,0,0.8361223732941417,11,0.8353377303576975,0.003255994685712451,0.00785888126562495
1,35,180,1000,1,"""HK""",0.0699999999999999,False,True,"""normal""",1,"""constant""",0.5,"""Scale-free""",3,0.6000000000000001,-0.5,"""uniform""","""deterministic-normal""",20,0.3,0.9,"""normal""",0.4000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,0.5,6,-0.5,False,True,"""242201111""",0.8388748495222879,0.8388748495222879,0.8388748495222879,0,0.8388748495222879,11,0.8353377303576975,0.003255994685712451,0.00785888126562495
1,36,180,1000,1,"""HK""",0.0699999999999999,False,True,"""normal""",1,"""constant""",0.5,"""Scale-free""",3,0.6000000000000001,-0.5,"""uniform""","""deterministic-normal""",20,0.3,0.9,"""normal""",0.4000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,0.5,6,-0.5,False,True,"""693014454""",0.8310159682566629,0.8310159682566629,0.8310159682566629,0,0.8310159682566629,11,0.8353377303576975,0.003255994685712451,0.00785888126562495
1,37,180,1000,1,"""HK""",0.12,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",3,0.2000000000000001,0.3,"""uniform""","""deterministic-normal""",45,0.1,0.2,"""normal""",0.9000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.8,0.2,4,-0.2999999999999999,False,True,"""-1463793236""",0.8241546158948703,0.8241546158948703,0.8241546158948703,0,0.8241546158948703,12,0.8261786246659218,0.0014607936242731756,0.0033943682738916126
1,38,180,1000,1,"""HK""",0.12,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",3,0.2000000000000001,0.3,"""uniform""","""deterministic-normal""",45,0.1,0.2,"""normal""",0.9000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.8,0.2,4,-0.2999999999999999,False,True,"""631822778""",0.8268322739341336,0.8268322739341336,0.8268322739341336,0,0.8268322739341336,12,0.8261786246659218,0.0014607936242731756,0.0033943682738916126
1,39,180,1000,1,"""HK""",0.12,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",3,0.2000000000000001,0.3,"""uniform""","""deterministic-normal""",45,0.1,0.2,"""normal""",0.9000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.8,0.2,4,-0.2999999999999999,False,True,"""-306480229""",0.8275489841687619,0.8275489841687619,0.8275489841687619,0,0.8275489841687619,12,0.8261786246659218,0.0014607936242731756,0.0033943682738916126
