"search-number","evaluation","evals-requested-so-far","number_of_agents*","number_of_opinion_dimensions*","model*","boundary_mean*","set-seed?*","avoid_seed_control?*","boundary_distribution*","conformity_mean*","conformity_distribution*","boundary_std*","network_type*","scale_free_degree*","scale_free_selection-mu*","scale_free_selection-sigma*","scale_free_selection-distribution*","media_house_distribution*","number_of_media_houses*","media_house_distribution_normal_mean*","media_house_distribution_normal_std*","opinion_distribution*","opinion_mean*","opinion_std*","save_end_sim_data*","endsimdirectory*","use_media_influence_factor?*","media_influence_factor*","silence_alpha*","silence_tau*","silence_delta0*","classify_proponents_by_boundary?*","use_silence?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","21","180","1000","1","""HK""","0.02","false","true","""normal""","1","""constant""","0.2","""Scale-free""","4","0.5","-0.09999999999999998","""uniform""","""deterministic-normal""","50","-0.29999999999999993","0.4","""normal""","0.9000000000000001","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","0.5","5","0.10000000000000009","false","false","""1135588192""","0.8214717962402022","0.8214717962402022","0.8214717962402022","0","0.8214717962402022"
"1","22","180","1000","1","""HK""","0.27","false","true","""normal""","1","""constant""","0","""Scale-free""","3","0.7000000000000002","0.40000000000000013","""uniform""","""deterministic-normal""","50","0","0.7000000000000001","""normal""","0.30000000000000004","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","1","10","-0.8","true","false","""-660032072""","0.7979069026583404","0.7979069026583404","0.7979069026583404","0","0.7979069026583404"
"1","23","180","1000","1","""HK""","0.27","false","true","""normal""","1","""constant""","0","""Scale-free""","3","0.7000000000000002","0.40000000000000013","""uniform""","""deterministic-normal""","50","0","0.7000000000000001","""normal""","0.30000000000000004","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","1","10","-0.8","true","false","""1561065711""","0.7979069026583404","0.7979069026583404","0.7979069026583404","0","0.7979069026583404"
"1","24","180","1000","1","""HK""","0.27","false","true","""normal""","1","""constant""","0","""Scale-free""","3","0.7000000000000002","0.40000000000000013","""uniform""","""deterministic-normal""","50","0","0.7000000000000001","""normal""","0.30000000000000004","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","1","10","-0.8","true","false","""425614910""","0.7979069026583404","0.7979069026583404","0.7979069026583404","0","0.7979069026583404"
"1","25","180","1000","1","""HK""","0.02","false","true","""normal""","1","""constant""","0.5","""Scale-free""","2","0.10000000000000009","0","""uniform""","""deterministic-normal""","10","0.8","0.2","""normal""","-0.5","0.30000000000000004","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.4","0.30000000000000004","10","0.40000000000000013","false","false","""1537559088""","0.7047356102253763","0.7047356102253763","0.7047356102253763","0","0.7047356102253763"
"1","26","180","1000","1","""HK""","0.02","false","true","""normal""","1","""constant""","0.5","""Scale-free""","2","0.10000000000000009","0","""uniform""","""deterministic-normal""","10","0.8","0.2","""normal""","-0.5","0.30000000000000004","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.4","0.30000000000000004","10","0.40000000000000013","false","false","""144547266""","0.6615135575072183","0.6615135575072183","0.6615135575072183","0","0.6615135575072183"
"1","27","180","1000","1","""HK""","0.02","false","true","""normal""","1","""constant""","0.5","""Scale-free""","2","0.10000000000000009","0","""uniform""","""deterministic-normal""","10","0.8","0.2","""normal""","-0.5","0.30000000000000004","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.4","0.30000000000000004","10","0.40000000000000013","false","false","""447935956""","0.6951905712064476","0.6951905712064476","0.6951905712064476","0","0.6951905712064476"
"1","28","180","1000","1","""HK""","0.12","false","true","""normal""","1","""constant""","0","""Scale-free""","4","0.30000000000000004","0","""uniform""","""deterministic-normal""","0","-0.3999999999999999","0.9","""normal""","-0.09999999999999998","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.6000000000000001","0.9","4","-1","true","true","""875947594""","0.7714101572908636","0.7714101572908636","0.7714101572908636","0","0.7714101572908636"
"1","29","180","1000","1","""HK""","0.12","false","true","""normal""","1","""constant""","0","""Scale-free""","4","0.30000000000000004","0","""uniform""","""deterministic-normal""","0","-0.3999999999999999","0.9","""normal""","-0.09999999999999998","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.6000000000000001","0.9","4","-1","true","true","""-903457852""","0.7493682540429054","0.7493682540429054","0.7493682540429054","0","0.7493682540429054"
"1","30","180","1000","1","""HK""","0.12","false","true","""normal""","1","""constant""","0","""Scale-free""","4","0.30000000000000004","0","""uniform""","""deterministic-normal""","0","-0.3999999999999999","0.9","""normal""","-0.09999999999999998","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.6000000000000001","0.9","4","-1","true","true","""1745453944""","0.7398457710833233","0.7398457710833233","0.7398457710833233","0","0.7398457710833233"
