Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD
211,1,129,0.05,64,2,0.1,constant,1,openly-listen,24.9,35.1,7.62,12.4,0.487
212,1,129,0.05,64,2,0.1,constant,1,vaguely-speak,24.9,35.1,7.62,12.4,0.487
213,1,129,0.05,64,2,0.1,uniform,0.1,openly-listen,42.9,59.9,2.73,36.1,0.577
214,1,129,0.05,64,2,0.1,uniform,0.1,vaguely-speak,39.8,44.7,4.82,20.1,0.541
215,1,129,0.05,64,2,0.1,uniform,0.5,openly-listen,30,51.5,3.66,26.8,0.581
216,1,129,0.05,64,2,0.1,uniform,0.5,vaguely-speak,65,58.6,2.85,34.6,0.531
217,1,129,0.05,64,2,0.1,uniform,0.9,openly-listen,33.9,45.1,4.74,20.5,0.529
218,1,129,0.05,64,2,0.1,uniform,0.9,vaguely-speak,49.5,52.6,3.51,27.9,0.511
219,1,129,0.05,64,2,0.1,uniform,1,openly-listen,30.9,49.2,4,24.4,0.56
220,1,129,0.05,64,2,0.1,uniform,1,vaguely-speak,60.5,56.7,3.04,32.4,0.533
221,1,129,0.05,64,2,0.2,constant,0.1,openly-listen,62.9,66.7,2.21,44.9,0.537
222,1,129,0.05,64,2,0.2,constant,0.1,vaguely-speak,62.9,66.7,2.21,44.9,0.537
223,1,129,0.05,64,2,0.2,constant,0.5,openly-listen,79.4,70.5,1.98,50.1,0.393
224,1,129,0.05,64,2,0.2,constant,0.5,vaguely-speak,79.4,70.5,1.98,50.1,0.393
225,1,129,0.05,64,2,0.2,constant,0.9,openly-listen,100,99.6,1,100,0
226,1,129,0.05,64,2,0.2,constant,0.9,vaguely-speak,100,99.6,1,100,0
227,1,129,0.05,64,2,0.2,constant,1,openly-listen,79.4,70.9,1.96,50.7,0.454
228,1,129,0.05,64,2,0.2,constant,1,vaguely-speak,79.4,70.9,1.96,50.7,0.454
229,1,129,0.05,64,2,0.2,uniform,0.1,openly-listen,59.2,81.2,1.5,66.5,0.52
230,1,129,0.05,64,2,0.2,uniform,0.1,vaguely-speak,97.6,98.8,1.02,98.4,0.146
231,1,129,0.05,64,2,0.2,uniform,0.5,openly-listen,54,80.3,1.53,65,0.46
232,1,129,0.05,64,2,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0
233,1,129,0.05,64,2,0.2,uniform,0.9,openly-listen,51.5,77.3,1.65,60.3,0.457
234,1,129,0.05,64,2,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0
235,1,129,0.05,64,2,0.2,uniform,1,openly-listen,49.5,74.5,1.77,56,0.427
236,1,129,0.05,64,2,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0
237,1,129,0.05,64,2,0.3,constant,0.1,openly-listen,95.9,98.1,1.03,96.9,0.162
238,1,129,0.05,64,2,0.3,constant,0.1,vaguely-speak,95.9,98.1,1.03,96.9,0.162
239,1,129,0.05,64,2,0.3,constant,0.5,openly-listen,100,99.6,1,100,0
240,1,129,0.05,64,2,0.3,constant,0.5,vaguely-speak,100,99.6,1,100,0
241,1,129,0.05,64,2,0.3,constant,0.9,openly-listen,100,99.6,1,100,0
242,1,129,0.05,64,2,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0
243,1,129,0.05,64,2,0.3,constant,1,openly-listen,100,99.6,1,100,0
244,1,129,0.05,64,2,0.3,constant,1,vaguely-speak,100,99.6,1,100,0
245,1,129,0.05,64,2,0.3,uniform,0.1,openly-listen,56.7,79.8,1.55,64.2,0.374
246,1,129,0.05,64,2,0.3,uniform,0.1,vaguely-speak,100,99.6,1,100,0
247,1,129,0.05,64,2,0.3,uniform,0.5,openly-listen,53.7,76.8,1.67,59.4,0.392
248,1,129,0.05,64,2,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0
249,1,129,0.05,64,2,0.3,uniform,0.9,openly-listen,57.4,79,1.58,62.8,0.368
