Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD,DI
7566,6,513,0.05,64,1,0.1,constant,1,vaguely-speak,54.5,58.1,2.95,33.8,0.467,27.973
7567,6,513,0.05,64,1,0.1,uniform,0.5,openly-listen,60,83,1.45,69,0.39,9.338
7568,6,513,0.05,64,1,0.1,uniform,0.5,vaguely-speak,63.7,61.5,2.63,37.9,0.491,27.959
7569,6,513,0.05,64,1,0.1,uniform,0.9,openly-listen,83.7,94.9,1.11,90.2,0.412,6.475
7570,6,513,0.05,64,1,0.1,uniform,0.9,vaguely-speak,55.5,59.3,2.82,35.3,0.476,27.925
7571,6,513,0.05,64,1,0.1,uniform,1,openly-listen,60.4,84.7,1.39,71.9,0.276,7.989
7572,6,513,0.05,64,1,0.1,uniform,1,vaguely-speak,63.4,59.6,2.8,35.6,0.471,27.625
7573,6,513,0.05,64,1,0.2,constant,0.5,openly-listen,76.1,70.7,2,50,0.458,22.855
7574,6,513,0.05,64,1,0.2,constant,0.5,vaguely-speak,76.1,70.7,2,50,0.458,22.855
7575,6,513,0.05,64,1,0.2,constant,0.9,openly-listen,76.9,70.6,2,50,0.429,21.462
7576,6,513,0.05,64,1,0.2,constant,0.9,vaguely-speak,76.9,70.6,2,50,0.429,21.462
7577,6,513,0.05,64,1,0.2,constant,1,openly-listen,76.9,70.6,2,49.9,0.417,20.888
7578,6,513,0.05,64,1,0.2,constant,1,vaguely-speak,76.9,70.6,2,49.9,0.417,20.888
7579,6,513,0.05,64,1,0.2,uniform,0.5,openly-listen,77.3,91.5,1.19,83.9,0.517,10.877
7580,6,513,0.05,64,1,0.2,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
7581,6,513,0.05,64,1,0.2,uniform,0.9,openly-listen,76.1,90.9,1.21,82.8,0.521,11.349
7582,6,513,0.05,64,1,0.2,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
7583,6,513,0.05,64,1,0.2,uniform,1,openly-listen,71.6,88.2,1.28,78,0.527,13.857
7584,6,513,0.05,64,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0,0.025
7585,6,513,0.05,64,1,0.3,constant,0.5,openly-listen,100,99.9,1,100,0,0
7586,6,513,0.05,64,1,0.3,constant,0.5,vaguely-speak,100,99.9,1,100,0,0
7587,6,513,0.05,64,1,0.3,constant,0.9,openly-listen,100,99.9,1,100,0,0
7588,6,513,0.05,64,1,0.3,constant,0.9,vaguely-speak,100,99.9,1,100,0,0
7589,6,513,0.05,64,1,0.3,constant,1,openly-listen,100,99.9,1,100,0,0.024
7590,6,513,0.05,64,1,0.3,constant,1,vaguely-speak,100,99.9,1,100,0,0.024
7591,6,513,0.05,64,1,0.3,uniform,0.5,openly-listen,89.6,97,1.06,94.2,0.267,3.313
7592,6,513,0.05,64,1,0.3,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
7593,6,513,0.05,64,1,0.3,uniform,0.9,openly-listen,53.1,78.4,1.62,61.6,0.268,9.514
7594,6,513,0.05,64,1,0.3,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
7595,6,513,0.05,64,1,0.3,uniform,1,openly-listen,42.9,64,2.43,41.1,0.238,11.04
7596,6,513,0.05,64,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0,0.025
7633,6,513,0.25,4,1,0.1,constant,0.5,openly-listen,29.7,50.3,3.92,25.4,0.48,30.269
7634,6,513,0.25,4,1,0.1,constant,0.5,vaguely-speak,29.7,50.3,3.92,25.4,0.48,30.269
7635,6,513,0.25,4,1,0.1,constant,0.9,openly-listen,28.5,56,3.17,31.4,0.487,28.486
7636,6,513,0.25,4,1,0.1,constant,0.9,vaguely-speak,28.5,56,3.17,31.4,0.487,28.486
7637,6,513,0.25,4,1,0.1,constant,1,openly-listen,32.1,55.3,3.25,30.6,0.475,28.479
7638,6,513,0.25,4,1,0.1,constant,1,vaguely-speak,32.1,55.3,3.25,30.6,0.475,28.479
7639,6,513,0.25,4,1,0.1,uniform,0.5,openly-listen,48,64.6,2.39,41.8,0.505,27.499
7640,6,513,0.25,4,1,0.1,uniform,0.5,vaguely-speak,50.4,63.5,2.46,40.5,0.508,27.576
7641,6,513,0.25,4,1,0.1,uniform,0.9,openly-listen,71.7,90.5,1.22,82.1,0.533,11.718
7642,6,513,0.25,4,1,0.1,uniform,0.9,vaguely-speak,40.1,59.8,2.78,35.8,0.484,27.308
7643,6,513,0.25,4,1,0.1,uniform,1,openly-listen,16.4,49,4.13,24.1,0.496,31.15
7644,6,513,0.25,4,1,0.1,uniform,1,vaguely-speak,43.1,61.1,2.66,37.4,0.465,26.061
7645,6,513,0.25,4,1,0.2,constant,0.5,openly-listen,71.9,69.6,2.05,48.6,0.481,24.338
7646,6,513,0.25,4,1,0.2,constant,0.5,vaguely-speak,71.9,69.6,2.05,48.6,0.481,24.338
7647,6,513,0.25,4,1,0.2,constant,0.9,openly-listen,89.1,96.6,1.07,93.5,0.227,2.946
7648,6,513,0.25,4,1,0.2,constant,0.9,vaguely-speak,89.1,96.6,1.07,93.5,0.227,2.946
7649,6,513,0.25,4,1,0.2,constant,1,openly-listen,88.5,96.8,1.07,93.9,0.2,2.532
7650,6,513,0.25,4,1,0.2,constant,1,vaguely-speak,88.5,96.8,1.07,93.9,0.2,2.532
7651,6,513,0.25,4,1,0.2,uniform,0.5,openly-listen,72.5,91.1,1.2,83.2,0.435,8.995
7652,6,513,0.25,4,1,0.2,uniform,0.5,vaguely-speak,92.1,97.8,1.04,95.8,0.161,1.662
7653,6,513,0.25,4,1,0.2,uniform,0.9,openly-listen,68,89.3,1.25,79.9,0.533,12.82
7654,6,513,0.25,4,1,0.2,uniform,0.9,vaguely-speak,89.3,96.8,1.07,93.9,0.197,2.487
7655,6,513,0.25,4,1,0.2,uniform,1,openly-listen,68.8,89.9,1.24,80.9,0.501,11.751
7656,6,513,0.25,4,1,0.2,uniform,1,vaguely-speak,90.4,97.2,1.06,94.6,0.186,2.219
7657,6,513,0.25,4,1,0.3,constant,0.5,openly-listen,93.6,98.2,1.04,96.5,0.144,1.35
7658,6,513,0.25,4,1,0.3,constant,0.5,vaguely-speak,93.6,98.2,1.04,96.5,0.144,1.35
7659,6,513,0.25,4,1,0.3,constant,0.9,openly-listen,93.8,98.2,1.04,96.5,0.16,1.533
7660,6,513,0.25,4,1,0.3,constant,0.9,vaguely-speak,93.8,98.2,1.04,96.5,0.16,1.533
7661,6,513,0.25,4,1,0.3,constant,1,openly-listen,96.2,98.9,1.02,98.1,0.121,0.892
7662,6,513,0.25,4,1,0.3,constant,1,vaguely-speak,96.2,98.9,1.02,98.1,0.121,0.892
7663,6,513,0.25,4,1,0.3,uniform,0.5,openly-listen,83.8,95.2,1.1,90.9,0.351,5.242
7664,6,513,0.25,4,1,0.3,uniform,0.5,vaguely-speak,99.1,99.7,1,99.6,0.054,0.169
7665,6,513,0.25,4,1,0.3,uniform,0.9,openly-listen,83.7,94.9,1.11,90.2,0.414,6.655
7666,6,513,0.25,4,1,0.3,uniform,0.9,vaguely-speak,97.6,99.3,1.01,98.8,0.084,0.45
7667,6,513,0.25,4,1,0.3,uniform,1,openly-listen,34,56,3.17,31.4,0.273,13.527
7668,6,513,0.25,4,1,0.3,uniform,1,vaguely-speak,98.3,99.5,1.01,99.2,0.06,0.309
7705,6,513,0.25,16,1,0.1,constant,0.5,openly-listen,49.8,58,2.95,33.8,0.482,28.665
7706,6,513,0.25,16,1,0.1,constant,0.5,vaguely-speak,49.8,58,2.95,33.8,0.482,28.665
7707,6,513,0.25,16,1,0.1,constant,0.9,openly-listen,53.6,57.7,2.99,33.3,0.46,27.665
7708,6,513,0.25,16,1,0.1,constant,0.9,vaguely-speak,53.6,57.7,2.99,33.3,0.46,27.665
7709,6,513,0.25,16,1,0.1,constant,1,openly-listen,53.5,57.6,3,33.2,0.463,27.885
7710,6,513,0.25,16,1,0.1,constant,1,vaguely-speak,53.5,57.6,3,33.2,0.463,27.885
7711,6,513,0.25,16,1,0.1,uniform,0.5,openly-listen,70.1,90.3,1.22,81.6,0.439,9.894
7712,6,513,0.25,16,1,0.1,uniform,0.5,vaguely-speak,53.8,59,2.86,34.9,0.477,28.188
7713,6,513,0.25,16,1,0.1,uniform,0.9,openly-listen,56.1,82.4,1.47,68,0.352,9.387
7714,6,513,0.25,16,1,0.1,uniform,0.9,vaguely-speak,75.2,71.9,1.93,51.8,0.48,23.09
7715,6,513,0.25,16,1,0.1,uniform,1,openly-listen,34.8,60.8,2.69,37.1,0.396,22.502
7716,6,513,0.25,16,1,0.1,uniform,1,vaguely-speak,76,71.7,1.94,51.5,0.495,23.969
7717,6,513,0.25,16,1,0.2,constant,0.5,openly-listen,76.9,70.6,2,49.9,0.429,21.49
7718,6,513,0.25,16,1,0.2,constant,0.5,vaguely-speak,76.9,70.6,2,49.9,0.429,21.49
7719,6,513,0.25,16,1,0.2,constant,0.9,openly-listen,76.9,70.6,2,49.9,0.41,20.514
7720,6,513,0.25,16,1,0.2,constant,0.9,vaguely-speak,76.9,70.6,2,49.9,0.41,20.514
7721,6,513,0.25,16,1,0.2,constant,1,openly-listen,76.9,70.6,2,49.9,0.406,20.329
7722,6,513,0.25,16,1,0.2,constant,1,vaguely-speak,76.9,70.6,2,49.9,0.406,20.329
7723,6,513,0.25,16,1,0.2,uniform,0.5,openly-listen,68.1,88.8,1.27,78.9,0.559,13.843
7724,6,513,0.25,16,1,0.2,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
7725,6,513,0.25,16,1,0.2,uniform,0.9,openly-listen,70.4,89.6,1.24,80.5,0.459,10.887
7726,6,513,0.25,16,1,0.2,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
7727,6,513,0.25,16,1,0.2,uniform,1,openly-listen,69.7,88.8,1.26,79.1,0.57,14.217
7728,6,513,0.25,16,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0,0
7729,6,513,0.25,16,1,0.3,constant,0.5,openly-listen,100,99.9,1,100,0,0
7730,6,513,0.25,16,1,0.3,constant,0.5,vaguely-speak,100,99.9,1,100,0,0
7731,6,513,0.25,16,1,0.3,constant,0.9,openly-listen,100,99.9,1,100,0,0
7732,6,513,0.25,16,1,0.3,constant,0.9,vaguely-speak,100,99.9,1,100,0,0
7733,6,513,0.25,16,1,0.3,constant,1,openly-listen,100,99.9,1,100,0,0
7734,6,513,0.25,16,1,0.3,constant,1,vaguely-speak,100,99.9,1,100,0,0
7735,6,513,0.25,16,1,0.3,uniform,0.5,openly-listen,83.2,94.6,1.11,89.7,0.386,6.645
7736,6,513,0.25,16,1,0.3,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
7737,6,513,0.25,16,1,0.3,uniform,0.9,openly-listen,51.8,76.7,1.69,59,0.237,8.87
7738,6,513,0.25,16,1,0.3,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
7739,6,513,0.25,16,1,0.3,uniform,1,openly-listen,49.8,76.1,1.72,58.1,0.264,10.285
7740,6,513,0.25,16,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0.001,0.025
7777,6,513,0.25,64,1,0.1,constant,0.5,openly-listen,44.6,55.5,3.23,30.8,0.482,29.415
7778,6,513,0.25,64,1,0.1,constant,0.5,vaguely-speak,44.6,55.5,3.23,30.8,0.482,29.415
7779,6,513,0.25,64,1,0.1,constant,0.9,openly-listen,54.4,57.7,2.98,33.4,0.468,28.084
7780,6,513,0.25,64,1,0.1,constant,0.9,vaguely-speak,54.4,57.7,2.98,33.4,0.468,28.084
7781,6,513,0.25,64,1,0.1,constant,1,openly-listen,52.9,57.6,2.99,33.3,0.47,28.225
7782,6,513,0.25,64,1,0.1,constant,1,vaguely-speak,52.9,57.6,2.99,33.3,0.47,28.225
7783,6,513,0.25,64,1,0.1,uniform,0.5,openly-listen,70.4,89.9,1.23,81,0.268,6.062
7784,6,513,0.25,64,1,0.1,uniform,0.5,vaguely-speak,54.9,58.5,2.91,34.2,0.474,28.257
7785,6,513,0.25,64,1,0.1,uniform,0.9,openly-listen,45.6,62.9,2.52,39.6,0.55,29.273
7786,6,513,0.25,64,1,0.1,uniform,0.9,vaguely-speak,56.2,60.2,2.74,36.3,0.463,26.751
7787,6,513,0.25,64,1,0.1,uniform,1,openly-listen,46.2,65,2.35,42.4,0.445,24.025
7788,6,513,0.25,64,1,0.1,uniform,1,vaguely-speak,55.6,59.5,2.81,35.4,0.47,27.576
7789,6,513,0.25,64,1,0.2,constant,0.5,openly-listen,76.9,70.8,1.99,50.2,0.444,22.101
7790,6,513,0.25,64,1,0.2,constant,0.5,vaguely-speak,76.9,70.8,1.99,50.2,0.444,22.101
7791,6,513,0.25,64,1,0.2,constant,0.9,openly-listen,76.9,70.6,2,49.9,0.426,21.31
7792,6,513,0.25,64,1,0.2,constant,0.9,vaguely-speak,76.9,70.6,2,49.9,0.426,21.31
7793,6,513,0.25,64,1,0.2,constant,1,openly-listen,76.9,70.6,2,49.9,0.422,21.16
7794,6,513,0.25,64,1,0.2,constant,1,vaguely-speak,76.9,70.6,2,49.9,0.422,21.16
7795,6,513,0.25,64,1,0.2,uniform,0.5,openly-listen,71.4,88.7,1.27,78.8,0.454,11.556
7796,6,513,0.25,64,1,0.2,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
7797,6,513,0.25,64,1,0.2,uniform,0.9,openly-listen,76.6,90.2,1.23,81.5,0.536,12.113
7798,6,513,0.25,64,1,0.2,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
7799,6,513,0.25,64,1,0.2,uniform,1,openly-listen,71.6,89.1,1.26,79.5,0.547,13.164
7800,6,513,0.25,64,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0,0
7801,6,513,0.25,64,1,0.3,constant,0.5,openly-listen,100,99.9,1,100,0,0
7802,6,513,0.25,64,1,0.3,constant,0.5,vaguely-speak,100,99.9,1,100,0,0
7803,6,513,0.25,64,1,0.3,constant,0.9,openly-listen,100,99.9,1,100,0,0
7804,6,513,0.25,64,1,0.3,constant,0.9,vaguely-speak,100,99.9,1,100,0,0
7805,6,513,0.25,64,1,0.3,constant,1,openly-listen,100,99.9,1,100,0,0
7806,6,513,0.25,64,1,0.3,constant,1,vaguely-speak,100,99.9,1,100,0,0
7807,6,513,0.25,64,1,0.3,uniform,0.5,openly-listen,86.2,95.6,1.09,91.6,0.183,2.989
7808,6,513,0.25,64,1,0.3,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
7809,6,513,0.25,64,1,0.3,uniform,0.9,openly-listen,70.8,87.4,1.31,76.6,0.244,7.399
7810,6,513,0.25,64,1,0.3,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
7811,6,513,0.25,64,1,0.3,uniform,1,openly-listen,60.7,82.1,1.48,67.5,0.251,9.24
7812,6,513,0.25,64,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0,0
7849,7,129,0.05,4,1,0.1,constant,0.5,openly-listen,6,31.5,9.33,10,0.482,34.228
7850,7,129,0.05,4,1,0.1,constant,0.5,vaguely-speak,6,31.5,9.33,10,0.482,34.228
7851,7,129,0.05,4,1,0.1,constant,0.9,openly-listen,6.7,32.7,8.74,10.8,0.482,34.015
7852,7,129,0.05,4,1,0.1,constant,0.9,vaguely-speak,6.7,32.7,8.74,10.8,0.482,34.015
7853,7,129,0.05,4,1,0.1,constant,1,openly-listen,6.4,32.9,8.63,10.9,0.483,34.065
7854,7,129,0.05,4,1,0.1,constant,1,vaguely-speak,6.4,32.9,8.63,10.9,0.483,34.065
7855,7,129,0.05,4,1,0.1,uniform,0.5,openly-listen,17.3,43,5.18,18.7,0.497,32.555
7856,7,129,0.05,4,1,0.1,uniform,0.5,vaguely-speak,8.9,35.1,7.63,12.4,0.484,33.621
7857,7,129,0.05,4,1,0.1,uniform,0.9,openly-listen,11.3,46.1,4.55,21.4,0.505,32.014
7858,7,129,0.05,4,1,0.1,uniform,0.9,vaguely-speak,16.9,46.6,4.44,21.9,0.466,29.369
7859,7,129,0.05,4,1,0.1,uniform,1,openly-listen,10.7,45.2,4.72,20.6,0.586,36.839
7860,7,129,0.05,4,1,0.1,uniform,1,vaguely-speak,9,35.5,7.46,12.7,0.467,32.575
7861,7,129,0.05,4,1,0.2,constant,0.5,openly-listen,53.9,63.3,2.45,40.3,0.478,26.236
7862,7,129,0.05,4,1,0.2,constant,0.5,vaguely-speak,53.9,63.3,2.45,40.3,0.478,26.236
7863,7,129,0.05,4,1,0.2,constant,0.9,openly-listen,47.9,61.3,2.61,37.9,0.43,24.21
7864,7,129,0.05,4,1,0.2,constant,0.9,vaguely-speak,47.9,61.3,2.61,37.9,0.43,24.21
7865,7,129,0.05,4,1,0.2,constant,1,openly-listen,54.3,77.9,1.63,61.2,0.441,16.683
7866,7,129,0.05,4,1,0.2,constant,1,vaguely-speak,54.3,77.9,1.63,61.2,0.441,16.683
7867,7,129,0.05,4,1,0.2,uniform,0.5,openly-listen,59,76,1.71,58.2,0.546,21.889
7868,7,129,0.05,4,1,0.2,uniform,0.5,vaguely-speak,68.1,84.6,1.38,72.1,0.402,12.081
7869,7,129,0.05,4,1,0.2,uniform,0.9,openly-listen,60.8,82.7,1.45,68.8,0.54,15.09
7870,7,129,0.05,4,1,0.2,uniform,0.9,vaguely-speak,82.6,92,1.17,85.4,0.341,7.024
7871,7,129,0.05,4,1,0.2,uniform,1,openly-listen,11.9,37.5,6.75,14.1,0.434,27.642
7872,7,129,0.05,4,1,0.2,uniform,1,vaguely-speak,82.4,92,1.17,85.3,0.334,7.147
7873,7,129,0.05,4,1,0.3,constant,0.5,openly-listen,68.6,80.3,1.53,65.1,0.419,14.916
7874,7,129,0.05,4,1,0.3,constant,0.5,vaguely-speak,68.6,80.3,1.53,65.1,0.419,14.916
7875,7,129,0.05,4,1,0.3,constant,0.9,openly-listen,90.8,96.5,1.06,93.9,0.21,2.655
7876,7,129,0.05,4,1,0.3,constant,0.9,vaguely-speak,90.8,96.5,1.06,93.9,0.21,2.655
7877,7,129,0.05,4,1,0.3,constant,1,openly-listen,90.8,96.5,1.06,93.9,0.193,2.624
7878,7,129,0.05,4,1,0.3,constant,1,vaguely-speak,90.8,96.5,1.06,93.9,0.193,2.624
7879,7,129,0.05,4,1,0.3,uniform,0.5,openly-listen,64.7,82,1.47,67.8,0.147,5.24
7880,7,129,0.05,4,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
7881,7,129,0.05,4,1,0.3,uniform,0.9,openly-listen,75.3,90.8,1.2,83.1,0.347,6.41
7882,7,129,0.05,4,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
7883,7,129,0.05,4,1,0.3,uniform,1,openly-listen,25.1,44,4.97,19.5,0.293,17.825
7884,7,129,0.05,4,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0.003,0.195
7921,7,129,0.05,16,1,0.1,constant,0.5,openly-listen,42.8,50.3,3.84,25.5,0.497,31.928
7922,7,129,0.05,16,1,0.1,constant,0.5,vaguely-speak,42.8,50.3,3.84,25.5,0.497,31.928
7923,7,129,0.05,16,1,0.1,constant,0.9,openly-listen,42.8,49.7,3.93,24.9,0.472,30.535
7924,7,129,0.05,16,1,0.1,constant,0.9,vaguely-speak,42.8,49.7,3.93,24.9,0.472,30.535
7925,7,129,0.05,16,1,0.1,constant,1,openly-listen,45.1,50.7,3.77,25.9,0.472,30.337
7926,7,129,0.05,16,1,0.1,constant,1,vaguely-speak,45.1,50.7,3.77,25.9,0.472,30.337
7927,7,129,0.05,16,1,0.1,uniform,0.5,openly-listen,77.8,90.4,1.21,82.4,0.178,3.796
7928,7,129,0.05,16,1,0.1,uniform,0.5,vaguely-speak,58.1,63.7,2.42,40.9,0.519,28.329
7929,7,129,0.05,16,1,0.1,uniform,0.9,openly-listen,37.6,63.5,2.43,40.7,0.515,26.614
7930,7,129,0.05,16,1,0.1,uniform,0.9,vaguely-speak,76.9,70.3,1.99,49.8,0.474,23.847
7931,7,129,0.05,16,1,0.1,uniform,1,openly-listen,45.3,62.5,2.51,39.3,0.542,29.755
7932,7,129,0.05,16,1,0.1,uniform,1,vaguely-speak,64.2,66.5,2.22,44.5,0.445,23.623
7933,7,129,0.05,16,1,0.2,constant,0.5,openly-listen,76.9,70.2,2,49.6,0.479,24.099
7934,7,129,0.05,16,1,0.2,constant,0.5,vaguely-speak,76.9,70.2,2,49.6,0.479,24.099
7935,7,129,0.05,16,1,0.2,constant,0.9,openly-listen,100,99.6,1,100,0,0
7936,7,129,0.05,16,1,0.2,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
7937,7,129,0.05,16,1,0.2,constant,1,openly-listen,76.9,70.3,1.99,49.8,0.396,19.98
7938,7,129,0.05,16,1,0.2,constant,1,vaguely-speak,76.9,70.3,1.99,49.8,0.396,19.98
7939,7,129,0.05,16,1,0.2,uniform,0.5,openly-listen,58.2,79.2,1.57,63.2,0.571,21.458
7940,7,129,0.05,16,1,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
7941,7,129,0.05,16,1,0.2,uniform,0.9,openly-listen,68.1,86,1.34,74.6,0.565,15.273
7942,7,129,0.05,16,1,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
7943,7,129,0.05,16,1,0.2,uniform,1,openly-listen,70.8,88.9,1.25,79.7,0.591,14.547
7944,7,129,0.05,16,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0.001,0.025
7945,7,129,0.05,16,1,0.3,constant,0.5,openly-listen,100,99.6,1,100,0,0
7946,7,129,0.05,16,1,0.3,constant,0.5,vaguely-speak,100,99.6,1,100,0,0
7947,7,129,0.05,16,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
7948,7,129,0.05,16,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
7949,7,129,0.05,16,1,0.3,constant,1,openly-listen,100,99.6,1,100,0.001,0.025
7950,7,129,0.05,16,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0.001,0.025
7951,7,129,0.05,16,1,0.3,uniform,0.5,openly-listen,71.4,88.9,1.25,79.7,0.323,7.323
7952,7,129,0.05,16,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
7953,7,129,0.05,16,1,0.3,uniform,0.9,openly-listen,72.6,90.3,1.21,82.2,0.474,11.128
7954,7,129,0.05,16,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
7955,7,129,0.05,16,1,0.3,uniform,1,openly-listen,35.9,61.8,2.57,38.5,0.366,16.68
7956,7,129,0.05,16,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0.001,0.025
7993,7,129,0.05,64,1,0.1,constant,0.5,openly-listen,37.3,50.5,3.81,25.7,0.492,31.587
7994,7,129,0.05,64,1,0.1,constant,0.5,vaguely-speak,37.3,50.5,3.81,25.7,0.492,31.587
7995,7,129,0.05,64,1,0.1,constant,0.9,openly-listen,45.1,50.7,3.78,25.9,0.484,31.005
7996,7,129,0.05,64,1,0.1,constant,0.9,vaguely-speak,45.1,50.7,3.78,25.9,0.484,31.005
7997,7,129,0.05,64,1,0.1,constant,1,openly-listen,48.4,50.5,3.81,25.7,0.48,30.815
7998,7,129,0.05,64,1,0.1,constant,1,vaguely-speak,48.4,50.5,3.81,25.7,0.48,30.815
7999,7,129,0.05,64,1,0.1,uniform,0.5,openly-listen,58.3,66,2.26,43.9,0.553,29.052
8000,7,129,0.05,64,1,0.1,uniform,0.5,vaguely-speak,76.9,70.2,2,49.7,0.499,25.107
8001,7,129,0.05,64,1,0.1,uniform,0.9,openly-listen,64.7,82,1.47,67.8,0.25,5.518
8002,7,129,0.05,64,1,0.1,uniform,0.9,vaguely-speak,76.9,70.3,1.99,49.9,0.482,24.145
8003,7,129,0.05,64,1,0.1,uniform,1,openly-listen,35.2,58.4,2.86,34.4,0.537,30.898
8004,7,129,0.05,64,1,0.1,uniform,1,vaguely-speak,76.9,70.4,1.99,50,0.473,23.636
8005,7,129,0.05,64,1,0.2,constant,0.5,openly-listen,76.9,71.1,1.95,50.9,0.457,22.418
8006,7,129,0.05,64,1,0.2,constant,0.5,vaguely-speak,76.9,71.1,1.95,50.9,0.457,22.418
8007,7,129,0.05,64,1,0.2,constant,0.9,openly-listen,76.9,70.2,2,49.6,0.402,20.231
8008,7,129,0.05,64,1,0.2,constant,0.9,vaguely-speak,76.9,70.2,2,49.6,0.402,20.231
8009,7,129,0.05,64,1,0.2,constant,1,openly-listen,76.9,70.2,2,49.7,0.404,20.302
8010,7,129,0.05,64,1,0.2,constant,1,vaguely-speak,76.9,70.2,2,49.7,0.404,20.302
8011,7,129,0.05,64,1,0.2,uniform,0.5,openly-listen,68.1,84,1.4,71.1,0.384,11.578
8012,7,129,0.05,64,1,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
8013,7,129,0.05,64,1,0.2,uniform,0.9,openly-listen,78,89.8,1.23,81.3,0.555,12.522
8014,7,129,0.05,64,1,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
8015,7,129,0.05,64,1,0.2,uniform,1,openly-listen,56,78.6,1.6,62.3,0.37,12.024
8016,7,129,0.05,64,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0,0
8017,7,129,0.05,64,1,0.3,constant,0.5,openly-listen,100,99.6,1,100,0,0
8018,7,129,0.05,64,1,0.3,constant,0.5,vaguely-speak,100,99.6,1,100,0,0
8019,7,129,0.05,64,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
8020,7,129,0.05,64,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
8021,7,129,0.05,64,1,0.3,constant,1,openly-listen,100,99.6,1,100,0,0
8022,7,129,0.05,64,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0,0
8023,7,129,0.05,64,1,0.3,uniform,0.5,openly-listen,76.6,91.2,1.19,83.8,0.348,6.935
8024,7,129,0.05,64,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
8025,7,129,0.05,64,1,0.3,uniform,0.9,openly-listen,81.3,93.4,1.14,88,0.27,3.642
8026,7,129,0.05,64,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
8027,7,129,0.05,64,1,0.3,uniform,1,openly-listen,73.9,87.7,1.29,77.5,0.517,13.295
8028,7,129,0.05,64,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0,0
8065,7,129,0.25,4,1,0.1,constant,0.5,openly-listen,13.7,40.2,5.92,16.3,0.485,33.289
8066,7,129,0.25,4,1,0.1,constant,0.5,vaguely-speak,13.7,40.2,5.92,16.3,0.485,33.289
8067,7,129,0.25,4,1,0.1,constant,0.9,openly-listen,17,42.7,5.25,18.4,0.492,32.914
8068,7,129,0.25,4,1,0.1,constant,0.9,vaguely-speak,17,42.7,5.25,18.4,0.492,32.914
8069,7,129,0.25,4,1,0.1,constant,1,openly-listen,13.4,43.2,5.15,18.8,0.492,33.076
8070,7,129,0.25,4,1,0.1,constant,1,vaguely-speak,13.4,43.2,5.15,18.8,0.492,33.076
8071,7,129,0.25,4,1,0.1,uniform,0.5,openly-listen,58.1,79.4,1.57,63.5,0.68,23.986
8072,7,129,0.25,4,1,0.1,uniform,0.5,vaguely-speak,49.7,62.2,2.53,39,0.533,29.45
8073,7,129,0.25,4,1,0.1,uniform,0.9,openly-listen,46.4,64.2,2.38,41.6,0.413,22.826
8074,7,129,0.25,4,1,0.1,uniform,0.9,vaguely-speak,40.6,57.7,2.94,33.5,0.482,28.02
8075,7,129,0.25,4,1,0.1,uniform,1,openly-listen,19.2,52.5,3.53,27.7,0.473,28.645
