"search-number","evaluation","conformity-level*","boundary*","n-agents*","opinions*","model*","avoid_seed_control?*","set-seed?*","boundary-drawn*","updating*","record-length*","max-ticks*","conformity-drawn*","centroids_change*","centroid_color?*","killing_centroids?*","polarisation-each-n-steps*","polar_repeats*","use_identity?*","esbg_furthest_out*","normalize_distances?*","show_dice_rolls?*","opinion_sigmoid?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"3","5","0.557","0.125","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.38520000000000004","30","0.37659999999999993"
"3","10","0.7120000000000001","0.125","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.41319999999999996","30","0.3831333333333333"
"3","20","0.7120000000000001","0.122","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.46820000000000006","30","0.38766666666666666"
"4","5","0.664","0.126","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.36900000000000005","30","0.3669"
"4","10","0.49","0.01","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.406","30","0.409"
"4","15","0.455","0.01","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.4194","30","0.4029666666666667"
"4","30","0.446","0.01","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.4292000000000001","30","0.40646666666666664"
"4","320","0.28800000000000003","0.057","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.43920000000000003","30","0.41939999999999994"
"4","405","0.35400000000000004","0.028000000000000004","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.4424","30","0.41559999999999986"
"4","445","0.668","0.052000000000000005","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.449","30","0.4098666666666666"
