"search-number","evaluation","evals-requested-so-far","n-agents*","opinions*","model*","set-seed?*","avoid_seed_control?*","conformity-level*","conformity-std*","conformity-drawn*","boundary*","boundary-std*","boundary-drawn*","mean-opinion-sigmoid-steepness*","std-opinion-sigmoid-steepness*","opinion_sigmoid?*","id_threshold*","id_threshold-std*","threshold_drawn*","mean-identity-sigmoid-xoffset*","std-identity-sigmoid-xoffset*","mean-identity-sigmoid-steepness*","std-identity-sigmoid-steepness*","identity_sigmoid?*","use_identity?*","identity_type*","identity_levels*","min_id_level*","max_id_level*","maxsteepness*","updating*","record-length*","max-ticks*","centroids_change*","centroid_color?*","killing_centroids?*","polarisation-each-n-steps*","polar_repeats*","d_threshold*","esbg_furthest_out*","normalize_distances?*","show_dice_rolls?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"42","21","25","129","2","""HK""","false","true","0.731","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.24","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1527657866""","0.002","0.002","0.002","0","0.002"
"42","22","25","129","2","""HK""","false","true","0.731","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.24","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""929187133""","0","0","0","0","0"
"42","23","25","129","2","""HK""","false","true","0.731","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.24","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""952389866""","0.005","0.005","0.005","0","0.005"
"42","24","25","129","2","""HK""","false","true","0.731","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.24","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-478341886""","0.001","0.001","0.001","0","0.001"
"42","25","25","129","2","""HK""","false","true","0.731","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.24","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-557118148""","0.003","0.003","0.003","0","0.003"
"42","26","30","129","2","""HK""","false","true","0.596","0.667","""normal""","0.58","0.714","""normal""","0.846","0","true","0.278","0.47100000000000003","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1489034714""","0.025","0.025","0.025","0","0.025"
"42","27","30","129","2","""HK""","false","true","0.596","0.667","""normal""","0.58","0.714","""normal""","0.846","0","true","0.278","0.47100000000000003","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""875299587""","0.003","0.003","0.003","0","0.003"
"42","28","30","129","2","""HK""","false","true","0.596","0.667","""normal""","0.58","0.714","""normal""","0.846","0","true","0.278","0.47100000000000003","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""536413007""","0.004","0.004","0.004","0","0.004"
"42","29","30","129","2","""HK""","false","true","0.596","0.667","""normal""","0.58","0.714","""normal""","0.846","0","true","0.278","0.47100000000000003","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-723129524""","0.003","0.003","0.003","0","0.003"
"42","30","30","129","2","""HK""","false","true","0.596","0.667","""normal""","0.58","0.714","""normal""","0.846","0","true","0.278","0.47100000000000003","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""400544865""","0.005","0.005","0.005","0","0.005"
"42","31","35","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.683","""normal""","0.913","0","true","0.347","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-824485396""","0.012","0.012","0.012","0","0.012"
