country,year,D1,D2,total_respondents,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,refused,dont_know
CY,2023.0,-0.07877534275980805,-0.10277818188668315,505.0,23.0,17.0,20.0,21.0,121.0,34.0,30.0,35.0,14.0,40.0,98.0,52.0
CY,2024.5,-0.05679605199017977,-0.11505212183457432,501.0,26.0,9.0,13.0,23.0,116.0,45.0,38.0,31.0,9.0,37.0,107.0,47.0
CY,2025.0,-0.04077953248201598,-0.09089190746470141,502.0,21.0,10.0,21.0,21.0,114.0,54.0,35.0,23.0,15.0,30.0,96.0,62.0
CZ,2007.0,-0.03215870934528617,-0.089424057902673,1107.0,70.0,22.0,63.0,77.0,272.0,114.0,99.0,100.0,24.0,95.0,93.0,78.0
CZ,2010.0,0.014683514162651429,-0.03422452137655924,1014.0,76.0,36.0,90.0,100.0,214.0,105.0,95.0,93.0,28.0,62.0,67.0,48.0
CZ,2012.0,-0.07515344367612772,-0.04674218919824544,1001.0,105.0,29.0,90.0,75.0,251.0,74.0,88.0,74.0,24.0,58.0,78.0,55.0
CZ,2014.0,-0.025740759726985064,-0.051770791534892786,1043.0,72.0,30.0,93.0,68.0,277.0,93.0,121.0,85.0,31.0,68.0,38.0,67.0
CZ,2015.0,-0.039180551937162036,-0.01265174028037512,1026.0,73.0,36.0,86.0,110.0,285.0,102.0,90.0,64.0,23.0,67.0,32.0,58.0
CZ,2016.0,-0.03125818752676396,-0.016649234637420723,1029.0,63.0,25.0,93.0,104.0,302.0,100.0,103.0,76.0,21.0,68.0,42.0,32.0
CZ,2017.0,-0.005289902608517132,-0.028302391973055632,1007.0,43.0,20.0,82.0,92.0,288.0,117.0,103.0,87.0,23.0,60.0,37.0,55.0
CZ,2019.0,-0.04754294953753104,-0.06375717696522878,1002.0,57.0,21.0,62.0,78.0,333.0,112.0,88.0,85.0,31.0,75.0,19.0,41.0
CZ,2020.0,0.11573095004657825,-0.08702215202117831,1150.0,16.0,17.0,60.0,110.0,301.0,163.0,211.0,147.0,45.0,50.0,9.0,21.0
CZ,2020.5,0.13631876303020202,-0.10193688156110382,1045.0,19.0,12.0,65.0,101.0,228.0,157.0,166.0,179.0,61.0,47.0,3.0,7.0
CZ,2021.0,0.03972606775341396,-0.05392904513474528,1035.0,30.0,26.0,70.0,91.0,306.0,150.0,158.0,90.0,41.0,56.0,5.0,12.0
CZ,2021.5,0.044149444673450125,-0.08452127143552189,1074.0,26.0,24.0,59.0,80.0,334.0,146.0,156.0,126.0,42.0,54.0,8.0,19.0
CZ,2022.0,0.03112057349311766,-0.06519797341945777,1003.0,31.0,25.0,65.0,67.0,326.0,144.0,131.0,116.0,34.0,39.0,11.0,14.0
CZ,2023.0,0.0005789373643139828,-0.07777009499587034,1013.0,44.0,19.0,50.0,75.0,344.0,144.0,125.0,100.0,34.0,54.0,8.0,16.0
CZ,2024.5,0.08294226189792572,-0.056831249172582234,1018.0,30.0,22.0,54.0,110.0,278.0,188.0,113.0,113.0,42.0,30.0,18.0,20.0
CZ,2025.0,0.023746277133204003,0.011028879097195982,1007.0,23.0,23.0,67.0,119.0,347.0,159.0,123.0,69.0,36.0,25.0,5.0,11.0
DE,2007.0,-0.0462791994443439,0.1570785700779459,1510.0,46.0,54.0,171.0,232.0,536.0,168.0,100.0,52.0,2.0,20.0,72.0,57.0
DE,2010.0,-0.0013857157565626123,0.16274994155713782,1519.0,35.0,55.0,155.0,193.0,485.0,210.0,134.0,59.0,6.0,4.0,85.0,98.0
DE,2012.0,-0.028605787365060194,0.19073460531856765,1510.0,38.0,42.0,167.0,231.0,510.0,216.0,101.0,32.0,6.0,5.0,71.0,91.0
DE,2014.0,0.003914604411183955,0.12673357221573364,1571.0,41.0,42.0,179.0,214.0,450.0,214.0,124.0,58.0,18.0,21.0,105.0,105.0
DE,2015.0,-0.006206302266924875,0.14659643552780185,1543.0,36.0,45.0,168.0,196.0,488.0,208.0,124.0,64.0,9.0,10.0,107.0,88.0
DE,2016.0,-0.01265825285289051,0.1690810649829402,1536.0,39.0,48.0,176.0,224.0,486.0,224.0,97.0,49.0,13.0,7.0,88.0,85.0
DE,2017.0,-0.0063653237028274915,0.1371171545622049,1536.0,56.0,69.0,179.0,203.0,463.0,228.0,112.0,53.0,14.0,17.0,74.0,68.0
DE,2019.0,-0.03578439643882781,0.14094292691826274,1505.0,62.0,63.0,198.0,242.0,517.0,180.0,94.0,53.0,17.0,21.0,22.0,36.0
DE,2020.0,-0.02739351899075055,0.19862932661042038,1686.0,47.0,57.0,212.0,274.0,621.0,239.0,137.0,36.0,5.0,2.0,19.0,37.0
DE,2020.5,-0.031050094379142596,0.18076916949150598,1504.0,30.0,77.0,195.0,237.0,544.0,207.0,103.0,36.0,6.0,15.0,22.0,32.0
DE,2021.0,-0.01669403261929836,0.14001714466860957,1517.0,53.0,48.0,190.0,205.0,515.0,237.0,114.0,60.0,11.0,17.0,18.0,49.0
DE,2021.5,-0.0534012890869968,0.19584771311323274,1512.0,20.0,54.0,165.0,233.0,609.0,207.0,95.0,35.0,6.0,8.0,38.0,42.0
DE,2022.0,-0.03929059847194181,0.16610879006674378,1500.0,40.0,49.0,160.0,192.0,576.0,232.0,114.0,46.0,8.0,8.0,40.0,35.0
DE,2023.0,0.001298193252807584,0.1319712070266853,1533.0,40.0,39.0,130.0,188.0,542.0,234.0,183.0,66.0,18.0,11.0,23.0,59.0
DE,2024.5,0.023595506436829596,0.08530067614206985,1529.0,42.0,55.0,153.0,197.0,463.0,265.0,168.0,72.0,24.0,35.0,34.0,21.0
DE,2025.0,-0.019275020862932413,0.09732167115096084,1505.0,46.0,55.0,127.0,168.0,552.0,210.0,140.0,93.0,21.0,16.0,25.0,52.0
DK,2007.0,0.09039491519323463,0.05149852148100718,998.0,20.0,27.0,126.0,139.0,242.0,101.0,163.0,104.0,21.0,29.0,9.0,17.0
DK,2010.0,0.08893537269699701,0.04677515231137444,1007.0,53.0,62.0,137.0,133.0,190.0,93.0,115.0,97.0,28.0,43.0,16.0,40.0
DK,2012.0,0.11286529879858422,0.03462351340822614,1029.0,55.0,64.0,114.0,132.0,191.0,101.0,166.0,115.0,24.0,35.0,9.0,23.0
DK,2014.0,0.1020113574564571,0.024447183076298756,1024.0,51.0,45.0,137.0,123.0,183.0,97.0,136.0,114.0,26.0,47.0,30.0,35.0
DK,2015.0,0.11374791008062914,0.02287413708935419,1007.0,56.0,49.0,125.0,127.0,178.0,109.0,143.0,86.0,53.0,35.0,13.0,33.0
DK,2016.0,0.07447708969792187,0.005401368720191378,1008.0,56.0,34.0,133.0,123.0,199.0,116.0,112.0,113.0,25.0,53.0,15.0,29.0
DK,2017.0,0.05934881785199262,0.0468994858963628,1002.0,49.0,51.0,132.0,126.0,212.0,90.0,121.0,84.0,23.0,39.0,22.0,53.0
DK,2019.0,0.10286390921837169,0.050042596232688634,1013.0,48.0,66.0,123.0,127.0,195.0,113.0,143.0,104.0,27.0,24.0,19.0,24.0
DK,2020.0,0.11497097174897979,0.09966020533075738,1017.0,30.0,66.0,152.0,164.0,189.0,99.0,148.0,97.0,15.0,21.0,17.0,19.0
DK,2020.5,0.1609857117984641,0.06835683235953956,1047.0,42.0,79.0,180.0,132.0,154.0,112.0,158.0,114.0,36.0,24.0,6.0,10.0
DK,2021.0,0.12518741184997859,0.05059953780089678,1023.0,62.0,72.0,145.0,121.0,181.0,92.0,148.0,114.0,31.0,31.0,10.0,16.0
DK,2021.5,0.10760555672022021,0.04698935857759157,1004.0,49.0,58.0,144.0,114.0,186.0,117.0,153.0,93.0,29.0,30.0,9.0,22.0
DK,2022.0,0.10301265675275263,0.01830687649263989,1003.0,50.0,49.0,131.0,119.0,178.0,139.0,135.0,96.0,35.0,42.0,14.0,15.0
DK,2023.0,0.1322812300087429,0.06714633528076548,1009.0,32.0,93.0,133.0,114.0,185.0,137.0,136.0,101.0,29.0,17.0,12.0,20.0
DK,2024.5,0.128381267935413,0.07907693679102881,1016.0,44.0,62.0,150.0,155.0,164.0,137.0,141.0,88.0,27.0,20.0,11.0,17.0
DK,2025.0,0.11550985484488309,0.10845145853000905,1003.0,33.0,59.0,145.0,138.0,185.0,145.0,160.0,64.0,20.0,9.0,16.0,29.0
EE,2007.0,0.10497381450800758,-0.14007448554853832,1011.0,22.0,7.0,34.0,55.0,186.0,149.0,104.0,115.0,51.0,41.0,41.0,206.0
EE,2010.0,0.04488331546636467,-0.09605556020578931,1001.0,26.0,12.0,40.0,48.0,221.0,124.0,85.0,85.0,33.0,31.0,113.0,183.0
EE,2012.0,-0.016272871943692074,-0.07996369370607055,1000.0,47.0,19.0,43.0,44.0,226.0,82.0,98.0,79.0,17.0,45.0,115.0,185.0
EE,2014.0,-0.047115923163043694,-0.0871610395989438,998.0,36.0,17.0,35.0,41.0,250.0,62.0,88.0,68.0,23.0,44.0,44.0,290.0
EE,2015.0,-0.05219344097012218,-0.019238015344193733,1020.0,35.0,17.0,50.0,77.0,304.0,58.0,121.0,69.0,18.0,33.0,16.0,222.0
EE,2016.0,0.03209642946933938,-0.0724929846813591,1003.0,18.0,22.0,32.0,54.0,256.0,115.0,105.0,68.0,17.0,28.0,34.0,254.0
EE,2017.0,-0.025876525159006517,-0.09210296524510152,1007.0,28.0,24.0,29.0,39.0,255.0,82.0,97.0,61.0,21.0,40.0,51.0,280.0
EE,2019.0,-0.006445278717549393,-0.02908678289865213,1026.0,18.0,33.0,49.0,74.0,309.0,99.0,102.0,70.0,31.0,32.0,41.0,168.0
EE,2020.0,0.1074994219092212,-0.07207358358613966,1020.0,19.0,21.0,65.0,95.0,253.0,173.0,155.0,141.0,43.0,40.0,2.0,13.0
EE,2020.5,0.08134186079599048,-0.07218513992390725,1019.0,22.0,26.0,71.0,86.0,285.0,144.0,142.0,136.0,57.0,39.0,0.0,11.0
EE,2021.0,0.0225070584229876,-0.08104167522870714,1017.0,28.0,13.0,50.0,64.0,246.0,120.0,108.0,77.0,34.0,52.0,50.0,175.0
EE,2021.5,0.06897073529303886,-0.08641004348743038,1030.0,15.0,21.0,54.0,47.0,236.0,122.0,126.0,70.0,41.0,35.0,78.0,185.0
EE,2022.0,0.03526545817258412,-0.0778228784402524,1005.0,26.0,25.0,38.0,61.0,284.0,112.0,127.0,76.0,38.0,26.0,60.0,132.0
EE,2023.0,0.01871893355685988,-0.09458723700402129,1003.0,30.0,15.0,44.0,56.0,229.0,99.0,110.0,80.0,36.0,55.0,65.0,184.0
EE,2024.5,0.036801459529438627,-0.03612423135936715,1009.0,34.0,25.0,57.0,84.0,239.0,120.0,121.0,77.0,31.0,39.0,62.0,120.0
EE,2025.0,0.054193649516927116,-0.05829622341771565,1004.0,24.0,30.0,56.0,67.0,224.0,131.0,119.0,85.0,33.0,45.0,66.0,124.0
EL,2007.0,0.04668528824588634,-0.13569999949735873,999.0,37.0,13.0,42.0,69.0,207.0,127.0,86.0,82.0,74.0,59.0,175.0,28.0
EL,2010.0,0.021773100835510064,-0.00047154598511589703,999.0,19.0,22.0,43.0,79.0,221.0,109.0,84.0,45.0,22.0,23.0,271.0,61.0
EL,2012.0,-0.038876714794146026,0.004682975436074689,1001.0,38.0,28.0,70.0,91.0,218.0,66.0,56.0,57.0,14.0,48.0,266.0,49.0
EL,2014.0,-0.031316146546760605,0.05510208501383358,1009.0,31.0,35.0,73.0,120.0,233.0,65.0,60.0,49.0,13.0,35.0,226.0,69.0
EL,2015.0,-0.02898320515485181,0.044171289511786754,1009.0,37.0,40.0,87.0,120.0,250.0,67.0,65.0,59.0,18.0,38.0,157.0,71.0
EL,2016.0,-0.020700983354573994,0.023857651042491317,1003.0,26.0,24.0,74.0,104.0,259.0,70.0,87.0,54.0,16.0,42.0,167.0,80.0
EL,2017.0,-0.013122367101466113,0.013166089986954597,1008.0,38.0,21.0,77.0,97.0,238.0,78.0,80.0,64.0,14.0,40.0,203.0,58.0
EL,2019.0,0.02777595715207573,0.0509430616000798,1013.0,24.0,32.0,83.0,115.0,265.0,114.0,104.0,65.0,21.0,19.0,93.0,78.0
EL,2020.0,0.007947399962368523,-0.007069541863454985,1003.0,30.0,33.0,83.0,112.0,325.0,148.0,89.0,93.0,33.0,43.0,7.0,7.0
EL,2020.5,0.011730866020836435,0.017858635296102227,1011.0,34.0,33.0,89.0,113.0,284.0,114.0,111.0,73.0,23.0,38.0,48.0,51.0
EL,2021.0,-0.005042375046515472,0.0745599664810377,1015.0,15.0,17.0,64.0,93.0,299.0,90.0,116.0,56.0,9.0,22.0,122.0,112.0
EL,2021.5,0.011354237380466597,0.10114596711327731,1015.0,13.0,26.0,65.0,97.0,294.0,78.0,141.0,47.0,11.0,21.0,125.0,97.0
EL,2022.0,0.010210628512319162,0.06149113583353348,1008.0,18.0,16.0,84.0,110.0,270.0,95.0,107.0,57.0,11.0,28.0,126.0,86.0
EL,2023.0,0.11971621413568356,-0.016537657351151487,1013.0,11.0,24.0,66.0,115.0,261.0,66.0,128.0,104.0,32.0,17.0,109.0,80.0
EL,2024.5,0.04239237135071567,0.12539553030928058,1004.0,17.0,14.0,76.0,115.0,261.0,80.0,142.0,60.0,6.0,11.0,114.0,108.0
EL,2025.0,0.05139406926471327,0.12687429967092068,1011.0,15.0,14.0,87.0,129.0,251.0,93.0,103.0,78.0,12.0,5.0,107.0,117.0
ES,2007.0,0.032060489421390344,0.17275032088706363,1002.0,53.0,66.0,113.0,160.0,212.0,102.0,44.0,53.0,10.0,6.0,91.0,92.0
ES,2010.0,-0.09681357212773807,0.0816205760412593,1005.0,66.0,34.0,93.0,107.0,302.0,75.0,56.0,29.0,6.0,29.0,99.0,109.0
ES,2012.0,-0.10218058888152844,0.055959804922038024,1011.0,75.0,39.0,107.0,87.0,261.0,49.0,57.0,49.0,10.0,30.0,139.0,108.0
ES,2014.0,-0.15022364815998093,0.15052528118208394,1011.0,86.0,36.0,142.0,122.0,322.0,45.0,40.0,16.0,8.0,17.0,105.0,72.0
ES,2015.0,-0.1653114619539957,0.15256436607772658,1032.0,108.0,40.0,167.0,103.0,312.0,40.0,44.0,24.0,3.0,17.0,101.0,73.0
ES,2016.0,-0.1277630400315232,0.08460269234205631,1009.0,77.0,46.0,140.0,111.0,302.0,51.0,55.0,34.0,9.0,40.0,67.0,77.0
ES,2017.0,-0.09737882265673095,0.12881521241054797,1009.0,59.0,46.0,151.0,99.0,305.0,57.0,45.0,41.0,8.0,18.0,126.0,54.0
ES,2019.0,-0.09904232209792424,0.12420954774163594,1005.0,66.0,73.0,158.0,96.0,287.0,61.0,56.0,38.0,7.0,29.0,62.0,72.0
ES,2020.0,-0.10170508241822955,0.11891316716446708,1003.0,72.0,52.0,135.0,107.0,332.0,72.0,47.0,38.0,8.0,17.0,79.0,44.0
ES,2020.5,-0.0009415340783158433,0.1139045540554516,1016.0,44.0,63.0,144.0,123.0,266.0,86.0,87.0,43.0,12.0,23.0,85.0,40.0
ES,2021.0,-0.029271423037499102,0.09747935775521738,1008.0,48.0,46.0,123.0,104.0,282.0,85.0,74.0,51.0,8.0,18.0,107.0,62.0
ES,2021.5,-0.02692741071210539,0.14699302064590317,1007.0,46.0,51.0,157.0,132.0,287.0,78.0,56.0,44.0,19.0,11.0,84.0,42.0
ES,2022.0,-0.06881063334874618,0.12535075658095196,1018.0,61.0,60.0,145.0,110.0,299.0,70.0,68.0,33.0,7.0,22.0,89.0,54.0
ES,2023.0,-0.0247142473277739,0.1175706055062847,1009.0,53.0,56.0,151.0,132.0,230.0,56.0,64.0,58.0,17.0,41.0,102.0,49.0
ES,2024.5,-0.019409697667116074,0.09406374334542456,1001.0,45.0,33.0,98.0,140.0,289.0,103.0,81.0,47.0,6.0,23.0,70.0,66.0
ES,2025.0,-0.018595743405764687,0.09984168884640517,1001.0,41.0,26.0,100.0,148.0,287.0,91.0,83.0,46.0,8.0,22.0,85.0,64.0
FI,2007.0,0.148324097977432,-0.034870985350408744,1034.0,9.0,16.0,75.0,130.0,233.0,167.0,120.0,134.0,35.0,20.0,31.0,64.0
FI,2010.0,0.16351095244695343,-0.030787237036834753,1004.0,10.0,28.0,63.0,97.0,190.0,186.0,118.0,119.0,28.0,13.0,74.0,78.0
FI,2012.0,0.1496685063787846,0.0023622715111223324,1009.0,16.0,25.0,74.0,113.0,210.0,189.0,136.0,94.0,24.0,9.0,39.0,80.0
FI,2014.0,0.11090385188901737,0.0018801796481260759,1009.0,27.0,34.0,77.0,102.0,208.0,165.0,137.0,102.0,22.0,16.0,35.0,84.0
FI,2015.0,0.11965789493142556,-0.0006640693263481928,1010.0,22.0,24.0,84.0,117.0,233.0,153.0,156.0,97.0,36.0,13.0,29.0,46.0
FI,2016.0,0.10854674732493555,-0.011200128148143324,1000.0,23.0,32.0,80.0,101.0,227.0,168.0,151.0,106.0,28.0,20.0,32.0,32.0
FI,2017.0,0.1029137283213243,-0.03347742917263883,1011.0,20.0,30.0,58.0,109.0,231.0,139.0,156.0,117.0,22.0,32.0,28.0,69.0
FI,2019.0,0.10870609773520282,-0.01699426739250861,1011.0,24.0,27.0,56.0,127.0,266.0,151.0,131.0,117.0,27.0,13.0,13.0,59.0
FI,2020.0,0.15256013471184976,0.004641929466670515,1096.0,25.0,55.0,144.0,118.0,185.0,146.0,181.0,150.0,40.0,37.0,3.0,12.0
FI,2020.5,0.15752675144083245,-0.03531190871375173,1016.0,21.0,52.0,108.0,97.0,184.0,135.0,163.0,163.0,54.0,30.0,4.0,5.0
FI,2021.0,0.1353430125543272,-0.0484900863663103,1075.0,32.0,43.0,112.0,109.0,191.0,141.0,138.0,154.0,70.0,42.0,16.0,27.0
FI,2021.5,0.11433658115791669,-0.07131234928060515,1004.0,29.0,41.0,89.0,78.0,193.0,137.0,130.0,137.0,64.0,48.0,15.0,43.0
FI,2022.0,0.08191179667846525,-0.0522489340144956,1008.0,24.0,25.0,67.0,88.0,254.0,147.0,129.0,113.0,49.0,30.0,14.0,68.0
