random-seed,20
conformity-mean,0.2
conformity-sd,0
conformity-distribution,normal
HK-distribution,false
N,101
boundary-mean,0.1
boundary-sd,0.05
boundary-distribution,normal
SPIRO-mean,0.25
SPIRO-sd,0
SPIRO-distribution,normal
Identity-Type,global
Identity-Levels,7
Use_Identity?,true
timeStep, agentID, opinion, previousOpinion, boundary, conformity, SPIRO, groupNumber
2,5,[-0.28081599999999995],[-0.25451999999999997],0.174,0.2,0.25,207
2,37,[0.500096],[0.50612],0.086,0.2,0.25,208
2,3,[0.571024],[0.57528],0.043,0.2,0.25,208
2,8,[0.254872],[0.25484],0.016,0.2,0.25,208
2,55,[0.010992000000000002],[0.00224],0.065,0.2,0.25,208
2,64,[-0.6373679999999999],[-0.63796],0.171,0.2,0.25,207
2,92,[0.535216],[0.53352],0.046,0.2,0.25,208
2,49,[-0.24973599999999999],[-0.23792],0.087,0.2,0.25,207
2,86,[-0.792536],[-0.80292],0.146,0.2,0.25,207
2,75,[-0.30930399999999997],[-0.30988],0.068,0.2,0.25,207
2,57,[0.454048],[0.46556000000000003],0.142,0.2,0.25,208
2,72,[-0.30316],[-0.30219999999999997],0.063,0.2,0.25,207
2,12,[0.13836],[0.1292],0.12,0.2,0.25,208
2,76,[-0.6111759999999999],[-0.6097199999999999],0.037,0.2,0.25,207
2,4,[0.158368],[0.15596000000000002],0.047,0.2,0.25,208
2,84,[-0.694192],[-0.69824],0.172,0.2,0.25,207
2,61,[0.26116799999999996],[0.26396],0.15,0.2,0.25,208
2,69,[-0.6228400000000001],[-0.6208],0.066,0.2,0.25,207
2,99,[0.36175999999999997],[0.36519999999999997],0.118,0.2,0.25,208
2,7,[-0.73412],[-0.7363999999999999],0.125,0.2,0.25,207
2,14,[-0.791576],[-0.79372],0.051,0.2,0.25,207
2,25,[0.863024],[0.89428],0.16,0.2,0.25,208
2,85,[0.9008160000000001],[0.92852],0.134,0.2,0.25,208
2,95,[-0.38665600000000006],[-0.37032000000000004],0.176,0.2,0.25,207
2,97,[-0.402568],[-0.39996],0.069,0.2,0.25,207
2,62,[0.11227999999999999],[0.1006],0.108,0.2,0.25,208
2,38,[0.7452399999999999],[0.7777999999999999],0.199,0.2,0.25,208
2,21,[-0.50372],[-0.5064],0.106,0.2,0.25,207
2,45,[0.38894399999999996],[0.39468],0.182,0.2,0.25,208
2,48,[0.033672],[0.02784],0.075,0.2,0.25,208
2,39,[0.291],[0.291],0.003,0.2,0.25,208
2,58,[-0.794744],[-0.81368],0.164,0.2,0.25,207
2,50,[0.5342800000000001],[0.5356000000000001],0.091,0.2,0.25,208
2,33,[-0.303232],[-0.30004000000000003],0.087,0.2,0.25,207
2,87,[0.43792000000000003],[0.4404],0.033,0.2,0.25,208
3,60,[-0.0031408],[-0.006176],0.035,0.2,0.25,210
3,22,[-0.34551360000000003],[-0.329392],0.153,0.2,0.25,209
3,99,[0.358608],[0.36175999999999997],0.118,0.2,0.25,210
3,1,[0.1149984],[0.10624800000000001],0.086,0.2,0.25,210
3,32,[-0.7370608],[-0.7475759999999999],0.175,0.2,0.25,209
3,23,[-0.1877024],[-0.169128],0.077,0.2,0.25,209
3,71,[0.6874688],[0.687336],0.114,0.2,0.25,210
3,27,[-0.3313056],[-0.31563199999999997],0.146,0.2,0.25,209
3,3,[0.5672192],[0.571024],0.043,0.2,0.25,210
3,26,[-0.5236527999999999],[-0.5158159999999999],0.169,0.2,0.25,209
3,77,[0.0101712],[0.010464],0.019,0.2,0.25,210
3,19,[-0.5232048],[-0.508256],0.196,0.2,0.25,209
3,70,[0.39496],[0.4002],0.074,0.2,0.25,210
3,78,[-0.5323248],[-0.519656],0.199,0.2,0.25,209
3,83,[0.2638912],[0.264864],0.059,0.2,0.25,210
3,94,[0.6971952],[0.706744],0.138,0.2,0.25,210
3,45,[0.3845552],[0.38894399999999996],0.182,0.2,0.25,210
3,76,[-0.6125408],[-0.6111759999999999],0.037,0.2,0.25,209
3,58,[-0.7775952],[-0.794744],0.164,0.2,0.25,209
3,43,[-0.727192],[-0.73324],0.15,0.2,0.25,209
3,89,[0.3920304],[0.398288],0.184,0.2,0.25,210
3,59,[-0.3951824],[-0.387728],0.14,0.2,0.25,209
3,17,[-0.8424320000000001],[-0.86004],0.13,0.2,0.25,209
3,81,[-0.825696],[-0.83012],0.049,0.2,0.25,209
3,25,[0.8362192],[0.863024],0.16,0.2,0.25,210
3,10,[0.202744],[0.20268],0.05,0.2,0.25,210
3,11,[0.3033184],[0.306648],0.094,0.2,0.25,210
3,28,[-0.8476192],[-0.861024],0.095,0.2,0.25,209
3,13,[0.5940272],[0.593784],0.088,0.2,0.25,210
3,91,[-0.6640735999999999],[-0.673592],0.209,0.2,0.25,209
3,79,[0.1855552],[0.182944],0.09,0.2,0.25,210
3,95,[-0.40892480000000003],[-0.38665600000000006],0.176,0.2,0.25,209
3,9,[-0.8985584],[-0.9224479999999999],0.113,0.2,0.25,209
3,67,[-0.7177711999999999],[-0.721464],0.151,0.2,0.25,209
3,64,[-0.6364943999999999],[-0.6373679999999999],0.171,0.2,0.25,209
