"search-number","evaluation","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","conformity-level*","conformity-drawn*","network-change*","cut-links-randomly?*","create-links-randomly?*","min-comm-neis*","dissatisfied_updates_opinion*","id_threshold*","use_identity?*","use_opponents_ratio?*","identity_levels*","polarisation-each-n-steps*","polar_repeats*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","esbg_furthest_out*","n-agents*","opinions*","model*","rs*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","record?*","max-ticks*","hk-benchmark?*","record-each-n-steps*","avoid-redundancies?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"101","273","61","0.15","0.59","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.68","""uniform""","0.5","""uniform""","""link""","false","false","9","0.32","0.47","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5409999999999999","7","0.627","0.542"
"101","280","25","0","0.594","""uniform""","0.060000000000000005","""uniform""","""openly-listen""","0.76","""uniform""","1","""uniform""","""link""","false","true","0","0.5","0.54","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5389999999999999","7","0.627","0.542"
"101","287","25","0","0.594","""uniform""","0.060000000000000005","""uniform""","""openly-listen""","0.76","""uniform""","0.9400000000000001","""uniform""","""link""","false","false","9","0.22","0.47","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.523","7","0.627","0.542"
"101","294","25","0","0.594","""uniform""","0.060000000000000005","""uniform""","""openly-listen""","0.85","""uniform""","0.9400000000000001","""uniform""","""link""","false","false","5","0.2","0.54","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5700000000000001","7","0.627","0.542"
"101","301","54","0.44","0.268","""uniform""","0.12","""uniform""","""openly-listen""","0.59","""uniform""","0.06999999999999999","""uniform""","""link""","false","true","3","0.9500000000000001","0.49","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.517","7","0.627","0.542"
"101","308","30","0.35000000000000003","0.374","""uniform""","0.02","""uniform""","""vaguely-speak""","0.44","""uniform""","0.98","""uniform""","""link""","false","true","7","0.74","0.5700000000000001","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.513","7","0.627","0.542"
"101","315","54","0.44","0.268","""uniform""","0.12","""uniform""","""openly-listen""","0.68","""uniform""","0.4","""uniform""","""link""","false","true","0","0.5","0.54","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.507","7","0.627","0.542"
"101","322","61","0.15","0.59","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.59","""uniform""","0.06999999999999999","""uniform""","""link""","false","false","7","0.74","0.5700000000000001","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5409999999999999","7","0.627","0.542"
"101","329","25","0","0.594","""uniform""","0.060000000000000005","""uniform""","""openly-listen""","0.76","""uniform""","0.9400000000000001","""uniform""","""link""","false","false","5","0.2","0.47","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.503","7","0.627","0.542"
"101","336","21","0.5","0.898","""uniform""","0.19","""uniform""","""vaguely-speak""","0.59","""uniform""","0.88","""uniform""","""link""","false","false","4","0.47000000000000003","0.92","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.627","0.542"
