"search-number","evaluation","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","conformity-level*","conformity-drawn*","network-change*","cut-links-randomly?*","create-links-randomly?*","min-comm-neis*","dissatisfied_updates_opinion*","id_threshold*","use_identity?*","use_opponents_ratio?*","polarisation-each-n-steps*","polar_repeats*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","esbg_furthest_out*","n-agents*","opinions*","model*","rs*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","record?*","max-ticks*","hk-benchmark?*","record-each-n-steps*","avoid-redundancies?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"61","147","30","0.38","0.684","""uniform""","0.47000000000000003","""uniform""","""vaguely-speak""","0.8200000000000001","""uniform""","0.72","""uniform""","""link""","false","true","9","0.33","0.14","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.642","0.5445"
"61","154","16","0.49","0.655","""uniform""","0.02","""uniform""","""openly-listen""","1.1","""uniform""","0.45","""uniform""","""link""","false","false","3","0.89","0.14","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.511","7","0.642","0.5445"
"61","161","20","0.3","0.302","""uniform""","0.26","""uniform""","""vaguely-speak""","0.04","""uniform""","0.92","""uniform""","""link""","false","false","4","0.89","0.74","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.632","7","0.642","0.5445"
"61","168","50","0.21","0.073","""uniform""","0.09999999999999999","""uniform""","""vaguely-speak""","0.65","""uniform""","0.16","""uniform""","""link""","false","false","6","0.61","0.72","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.536","7","0.642","0.5445"
"61","175","44","0.21","0.073","""uniform""","0.23","""uniform""","""vaguely-speak""","0.19","""uniform""","0.56","""uniform""","""link""","false","true","7","0.9500000000000001","0.8","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.573","7","0.642","0.5445"
"61","182","63","0.14","0.433","""uniform""","0.09999999999999999","""uniform""","""vaguely-speak""","0.65","""uniform""","0.16","""uniform""","""link""","false","false","4","0.78","0.74","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.554","7","0.642","0.5445"
"61","189","5","0.17","0.6900000000000001","""uniform""","0.22","""uniform""","""openly-listen""","0.42000000000000004","""uniform""","0.93","""uniform""","""link""","false","true","5","0.36","0.91","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5449999999999999","7","0.642","0.5445"
"61","196","20","0.3","0.302","""uniform""","0.26","""uniform""","""vaguely-speak""","0.04","""uniform""","0.92","""uniform""","""link""","false","false","6","0.61","0.76","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.571","7","0.642","0.5445"
"61","203","44","0.21","0.073","""uniform""","0.13","""uniform""","""vaguely-speak""","0.65","""uniform""","0.16","""uniform""","""link""","false","false","4","0.78","0.74","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.569","7","0.642","0.5445"
"61","210","12","0.22","0.058","""uniform""","0.04","""uniform""","""vaguely-speak""","0.04","""uniform""","0.77","""uniform""","""link""","false","false","2","0.58","0.11","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.505","7","0.642","0.5445"
"61","217","63","0.14","0.433","""uniform""","0.23","""uniform""","""vaguely-speak""","0.35000000000000003","""uniform""","0.16","""uniform""","""link""","false","true","0","0.76","0.33","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.642","0.5445"
"61","224","53","0.24","0.6","""uniform""","0.36000000000000004","""uniform""","""openly-listen""","0.19","""uniform""","0.56","""uniform""","""link""","false","true","7","0.9500000000000001","0.8","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5660000000000001","7","0.642","0.5445"
"61","231","16","0.47000000000000003","0.655","""uniform""","0.02","""uniform""","""openly-listen""","1.1","""uniform""","0.45","""uniform""","""link""","false","false","3","0.89","0.19","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.515","7","0.642","0.5445"
"61","238","12","0.22","0.14800000000000002","""uniform""","0.04","""uniform""","""vaguely-speak""","0.04","""uniform""","0.77","""uniform""","""link""","false","false","2","0.58","0.11","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.517","7","0.642","0.5445"
"61","245","44","0.21","0.073","""uniform""","0.09999999999999999","""uniform""","""vaguely-speak""","0.65","""uniform""","0.16","""uniform""","""link""","false","false","4","0.78","0.9","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.529","7","0.642","0.5445"
"61","252","5","0.17","0.6900000000000001","""uniform""","0.22","""uniform""","""openly-listen""","0.42000000000000004","""uniform""","0.92","""uniform""","""link""","false","false","4","0.89","0.74","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.692","7","0.692","0.6639999999999999"
"61","259","20","0.3","0.302","""uniform""","0.26","""uniform""","""vaguely-speak""","0.04","""uniform""","0.93","""uniform""","""link""","false","true","5","0.36","0.91","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.545","7","0.692","0.6639999999999999"
"61","266","44","0.2","0.073","""uniform""","0.23","""uniform""","""vaguely-speak""","0.19","""uniform""","0.56","""uniform""","""link""","false","true","7","0.9500000000000001","0.8","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.597","7","0.692","0.6639999999999999"
"61","273","25","0.41000000000000003","0.395","""uniform""","0.39","""uniform""","""vaguely-speak""","0.13","""uniform""","0.49","""uniform""","""link""","false","true","4","0.35000000000000003","0.69","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.506","7","0.692","0.6639999999999999"
"61","280","49","0.45","0.316","""uniform""","0.11","""uniform""","""vaguely-speak""","0.15000000000000002","""uniform""","0.29000000000000004","""uniform""","""link""","false","false","2","0.99","0.77","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.524","7","0.692","0.6639999999999999"
"61","287","20","0.3","0.302","""uniform""","0.26","""uniform""","""vaguely-speak""","0.04","""uniform""","0.92","""uniform""","""link""","false","false","6","0.61","0.72","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.014","7","0.692","0.6639999999999999"
"61","294","44","0.21","0.073","""uniform""","0.23","""uniform""","""vaguely-speak""","0.19","""uniform""","0.56","""uniform""","""link""","false","true","7","0.9500000000000001","0.86","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5800000000000001","7","0.692","0.6639999999999999"
"61","301","53","0.24","0.6","""uniform""","0.36000000000000004","""uniform""","""openly-listen""","0.22","""uniform""","0.56","""uniform""","""link""","false","true","7","0.9500000000000001","0.8","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.631","7","0.692","0.6639999999999999"
"61","308","44","0.21","0.01","""uniform""","0.13","""uniform""","""vaguely-speak""","0.65","""uniform""","0.16","""uniform""","""link""","false","false","4","0.78","0.74","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.556","7","0.692","0.6639999999999999"
