"search-number","evaluation","evals-requested-so-far","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","max-ticks*","hk-benchmark?*","n-agents*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","21","25","0.42000000000000004","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""864250758""","1.144","1.144","1.144","0","1.144"
"1","22","25","0.42000000000000004","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1357252533""","1.031","1.031","1.031","0","1.031"
"1","23","25","0.42000000000000004","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-726910745""","1.047","1.047","1.047","0","1.047"
"1","24","25","0.42000000000000004","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""983594172""","0.96","0.96","0.96","0","0.96"
"1","25","25","0.42000000000000004","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""764087474""","1.007","1.007","1.007","0","1.007"
"1","26","50","0.2","""uniform""","4","0.3","0.227","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.88","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1344113442""","1.004","1.004","1.004","0","1.004"
"1","27","50","0.2","""uniform""","4","0.3","0.227","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.88","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1013101405""","0.907","0.907","0.907","0","0.907"
"1","28","50","0.2","""uniform""","4","0.3","0.227","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.88","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-2016460204""","1.014","1.014","1.014","0","1.014"
"1","29","50","0.2","""uniform""","4","0.3","0.227","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.88","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""675262003""","0.974","0.974","0.974","0","0.974"
"1","30","50","0.2","""uniform""","4","0.3","0.227","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.88","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-466387834""","0.922","0.922","0.922","0","0.922"
"1","31","50","0.55","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""138608678""","0.91","0.91","0.91","0","0.91"
"1","32","50","0.55","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-120397578""","1.035","1.035","1.035","0","1.035"
