"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity4D.nlogo"
"regularExperimentPart57"
"03/27/2022 14:16:00:993 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","boundary","id_threshold","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"20","61","true","4","0.05","0.24","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624178","0.8126031697517233","1.1875","0.258","0.076","-0.05994573643410851","0.06633333333333336","0.013093023255813945","-0.046279069767441866","0.5400780515073365","0.5609368744193355","0.5697931154410958","0.5771287358654287","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","12.000000000000004","0.833472762639488","0.8685969905063913","1.1875","0.256","0.073","-0.06368813993341531","0.07007108834343743","0.013654799820636547","-0.043366255246068006","0.5386716365462483","0.5626886721492927","0.5691941332345694","0.574709178137718","-0.108","0.092","-0.108","0.092","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"27","61","true","4","0.05","0.31","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000004","0.9291348313624179","0.8126031697517234","1.1875","0.261","0.076","-0.05994573643410853","0.06633333333333334","0.013093023255813945","-0.04627906976744188","0.5400780515073365","0.5609368744193356","0.5697931154410956","0.5771287358654289","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","12.000000000000005","0.8337297553540804","0.8690741340753272","1.1875","0.258","0.076","-0.06294270571956864","0.06949607993950739","0.0126195687655559","-0.0447116589303771","0.538150626342362","0.5613479740653631","0.5692116051999238","0.5750057660494133","-0.09974940728502812","0.115","-0.09974940728502812","0.115","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"17","61","true","4","0.05","0.21","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.929134831362418","0.8126031697517233","1.1875","0.261","0.076","-0.05994573643410856","0.06633333333333333","0.013093023255813957","-0.046279069767441866","0.5400780515073365","0.5609368744193357","0.5697931154410958","0.5771287358654289","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999995","0.8335723009194965","0.8687717906681355","1.1875","0.26","0.077","-0.05954469970137895","0.07030276034664254","0.012102933346549494","-0.043881772536199105","0.5398469448318194","0.5620077647948502","0.5697024933327257","0.5757610758590327","-0.102","0.097","-0.102","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"24","61","true","4","0.05","0.28","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624179","0.8126031697517234","1.1875","0.256","0.076","-0.05994573643410859","0.06633333333333336","0.01309302325581396","-0.04627906976744185","0.5400780515073365","0.5609368744193355","0.5697931154410958","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999996","0.8335523791216389","0.8686444390521639","1.1875","0.261","0.077","-0.060634091579070445","0.06850444091290803","0.007139133293478834","-0.046487541985076264","0.5394108297708045","0.5617506053884567","0.5690117153210708","0.5762121443615076","-0.10470501279500309","0.092","-0.10470501279500309","0.092","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"26","61","true","4","0.05","0.3","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000004","0.929134831362418","0.8126031697517235","1.1875","0.265","0.076","-0.059945736434108526","0.06633333333333331","0.013093023255813956","-0.04627906976744184","0.5400780515073365","0.5609368744193355","0.5697931154410956","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","12.000000000000005","0.8335370555121889","0.8686453956859709","1.1875","0.26","0.077","-0.05850386065078528","0.07155470616559094","0.011113106286834085","-0.04423979302701757","0.5397399860540986","0.5622266573467782","0.5692646148450312","0.5757621203781604","-0.102","0.097","-0.102","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"3","61","true","4","0.05","0.07","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"2","61","true","4","0.05","0.06","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"9","61","true","4","0.05","0.13","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"16","61","true","4","0.05","0.2","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.929134831362418","0.8126031697517231","1.1875","0.261","0.076","-0.0599457364341085","0.06633333333333334","0.013093023255813954","-0.04627906976744185","0.5400780515073366","0.5609368744193353","0.5697931154410958","0.5771287358654289","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","12.000000000000005","0.8335674896868773","0.8684737361387287","1.1875","0.263","0.076","-0.06291047585397966","0.06365550308848325","0.014780669023294495","-0.048769388725277585","0.5397262620126898","0.5611230073990722","0.5706502682124686","0.5774314218687606","-0.102","0.062","-0.102","0.062","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"31","61","true","4","0.06","0.05","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8333988201720288","0.8683602866244616","1.1875","0.269","0.073","-0.06402160114531569","0.06784744306494135","0.006867924665733778","-0.044754380712896676","0.5384316611768215","0.5543851253248562","0.5697330894704267","0.5724736240681266","-0.108","0.097","-0.108","0.097","-0.439","-0.3405","-0.439","-0.3405","0.34650000000000003","0.521","0.34650000000000003","0.521"
