"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperiment"
"03/03/2022 01:40:03:749 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","cut-links-randomly?","record?","opinions","updating","set-seed?","boundary","polar_repeats","Y-opinion","draw_id_threshold","model","max-ticks","Centroids_change","boundary-drawn","p-random","tolerance-drawn","p-speaking-drawn","n-neis","use_opponents_ratio?","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","identity_levels","record-length","id_threshold","network-change","tolerance-level","p-speaking-level","centroid_color?","use_identity?","conformity-drawn","N_centroids","RS","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"8","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","3","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.33","0.175","-0.0063875968992248","-0.08211627906976744","0.5703833183438671","0.5424428775788714","-0.018","-0.13","-0.4275","-0.569","0.483","0.3605","0","1","1","1","0.031","0.028","-0.09094550280740842","0.17995165944066144","0.24845867601930807","0.2368824698182048","-0.1140809127607127","0.21482902378593655","-0.12187080053002804","0.20738440259314228","-0.10423088178149714","0.22069414852265684"
"31","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","11","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.333","0.16","0.030193798449612383","-0.10219379844961236","0.5909659343703664","0.556133387741862","0.097","-0.071","-0.5375000000000001","-0.5854999999999999","0.4975","0.324","0","1","1","1","0.106","0.036","0.02952652836799217","0.2575532125138983","0.2634834967947355","0.23422198232905755","0.03517185366944684","0.29798211848488365","0.024317581690719233","0.2784742700798341","0.04266018234598482","0.3078310865250754"
"18","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","6","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","999","0","1","1","1","0.335","0.173","-0.059914728682170515","-0.018015503875969015","0.5476996501135418","0.5661847780387176","-0.126","-0.076","-0.5195000000000001","-0.504","0.3655","0.4495","0","1","1","1","0.135","0.045","0.16191553677710868","0.19139015234965115","0.294615778120219","0.3019885333908909","0.21654197305856043","0.26969531495809973","0.19676325534142308","0.24687923891757696","0.22416389802213654","0.27703956164647237"
"1","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","1","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.363","0.155","0.0901085271317829","-0.05872868217054264","0.5861707467793363","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","0","1","1","1","0.087","0.031","0.21015678960862158","-0.2816792105541585","0.2733410684229033","0.2579143928964604","0.22360854257316648","-0.30984706948299007","0.21754621627731166","-0.31938234727080467","0.24196547544816177","-0.30010552784228484"
"32","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","11","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.333","0.16","0.030193798449612383","-0.10219379844961236","0.5909659343703664","0.556133387741862","0.097","-0.071","-0.5375000000000001","-0.5854999999999999","0.4975","0.324","0","1","1","1","0.079","0.031","0.07031782654186423","0.13637059895336115","0.24317040818450536","0.21219052272641903","0.08386142546459159","0.15701565217662414","0.07667537600367884","0.13959268441058914","0.0873148611388124","0.16710198010994468"
"25","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","9","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.362","0.163","-0.015209302325581393","0.026023255813953483","0.5657933820422352","0.6203196059431314","0.011","0.063","-0.512","-0.5615","0.435","0.586","0","1","1","1","0.101","0.038","0.6739434828010852","-0.40300526688655575","0.3672742947044798","0.2700614627303207","0.778778202160781","-0.47386485069356443","0.775787620878807","-0.4755126514573569","0.7817061412181925","-0.47162982325935443"
"9","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","3","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","999","0","1","1","1","0.33","0.175","-0.0063875968992248","-0.08211627906976744","0.5703833183438671","0.5424428775788714","-0.018","-0.13","-0.4275","-0.569","0.483","0.3605","0","1","1","1","0.078","0.034","-0.2540337265865207","-0.060431085881754096","0.2849868174908012","0.24321132892926847","-0.3250092680365249","-0.059138525066348764","-0.3380602490029778","-0.07802521473996873","-0.3051994447609832","-0.04623496596704556"
"23","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","8","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.336","0.165","-0.015317829457364355","0.020155038759689915","0.5593568849650032","0.5836500509939099","0.014","-0.041","-0.531","-0.463","0.4125","0.544","0","1","1","1","0.091","0.033","0.08942646154651927","0.1943296362071585","0.280995886444086","0.3128077836861163","0.13500477404039665","0.24900214342753924","0.13031803762903676","0.24130242654879563","0.14264053351155723","0.2548256447271794"
"28","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","10","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.336","0.174","0.058069767441860445","0.00601550387596899","0.58516207939081","0.5572665428300464","0.045","0.027","-0.431","-0.439","0.5794999999999999","0.4395","0","1","1","1","0.103","0.048","0.17011873710040337","-0.07911695310459939","0.24769710957882643","0.2907776503807697","0.15608125638847356","-0.13103194252571126","0.14730496863457682","-0.14279266720308448","0.17641784537796873","-0.10349749887231142"
"22","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","8","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.336","0.165","-0.015317829457364355","0.020155038759689915","0.5593568849650032","0.5836500509939099","0.014","-0.041","-0.531","-0.463","0.4125","0.544","0","1","1","1","0.117","0.045","0.2826021244962261","-0.3523766918651283","0.32718962198401863","0.33383619698320577","0.3610892859270398","-0.42390448513299683","0.341622741470201","-0.4387811953998497","0.37942031405220866","-0.4172253797986144"
