"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperimentPart05"
"03/05/2022 02:41:46:212 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","n-neis","tolerance-level","cut-links-randomly?","record?","opinions","updating","set-seed?","boundary","polar_repeats","Y-opinion","draw_id_threshold","model","max-ticks","Centroids_change","boundary-drawn","p-random","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","identity_levels","record-length","id_threshold","network-change","p-speaking-level","centroid_color?","use_identity?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"28","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","vaguely-speak","0.8","365","5","2","40","0.39","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","53.147286821705436","0.8065818109914358","0.3741964272022934","1.8304263565891472","0.362","0.155","0.09010852713178295","-0.058728682170542605","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","46.86821705426355","0.5093704154818746","0.8361347178201958","false","0.299","0.202","0.04815956449045075","-0.08210200668027916","0.3229960811307411","0.4639614770893621","-0.1100214354230429","-0.3079012538972595","-0.11431691293403705","-0.48959169431537075","0.2661444724312657","0.5959999999999999"
"32","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","vaguely-speak","0.8","365","5","2","40","0.39","link","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","53.147286821705436","0.8065818109914358","0.3741964272022934","1.8304263565891472","0.362","0.155","0.09010852713178295","-0.058728682170542605","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","104.28682170542636","0.27527891194285237","0.837224510753291","2.6294815891472867","0.21","0.093","0.0983550264902479","-0.044868151007749185","0.292699361644291","0.29145410402180905","-0.12248230234912405","-0.16005997735276647","-0.13123933234779483","-0.18943383611378678","0.4016549907020812","0.1175959306996624"
"12","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","53.14728682170543","0.8065818109914361","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178297","-0.05872868217054263","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","68.23255813953493","0.33181880811340575","0.6970782091521658","2.0661337209302326","0.235","0.178","-0.1257078089695364","0.0096172635188311","0.23489410121734644","0.40207216831261994","-0.14934383824504846","-0.2568403603756496","-0.1801929040468483","-0.28439941726325635","-0.08396592308890592","0.4521931832687717"
"29","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","vaguely-speak","0.8","365","5","2","40","0.39","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","53.147286821705436","0.8065818109914358","0.3741964272022934","1.8304263565891472","0.362","0.155","0.09010852713178295","-0.058728682170542605","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","102.1937984496124","0.3215495424299588","0.8084940395965061","2.596778100775194","0.286","0.232","0.07562480036737952","-0.07074711099114653","0.1943227033118832","0.46575861157817283","0.09996566706338778","-0.30100694456681343","0.09600835932340465","-0.5095558274552557","0.19207191902200943","0.4679993820136605"
"11","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","53.14728682170543","0.8065818109914361","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178297","-0.05872868217054263","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","62.20155038759688","0.40060496286216324","0.7246959074417969","1.9718992248062015","0.231","0.198","0.06419021374157734","-0.23850325108560533","0.3859532955942075","0.33938829297368556","0.31695806225265394","-0.4784465366950534","-0.33937244196566485","-0.4950705721286177","0.33435590776203106","0.05463305803223761"
"31","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","vaguely-speak","0.8","365","5","2","40","0.39","link","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","53.147286821705436","0.8065818109914358","0.3741964272022934","1.8304263565891472","0.362","0.155","0.09010852713178295","-0.058728682170542605","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","109.7674418604651","0.277273359739533","0.8488948617581973","2.7151162790697674","0.295","0.164","0.05049862309078373","0.019295161362821122","0.4025622025523907","0.3513484044025966","-0.22875143302435794","-0.2346499827350285","-0.23886767847698653","-0.28228618927204496","0.5132151387064312","0.38720752209168974"
"4","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.39","link","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","53.147286821705436","0.8065818109914358","0.3741964272022934","1.8304263565891472","0.362","0.155","0.09010852713178295","-0.058728682170542605","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","63.968992248062015","0.35327754453472193","0.7137513062144606","1.999515503875969","0.282","0.232","0.10482455074571148","-0.05828889900768428","0.23897646822322896","0.45543629216026044","0.22108286752763104","-0.3798696613707578","-0.0031663590594151582","-0.42642515022980154","0.2352828649252547","0.4523177710098121"
"3","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.39","link","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","53.147286821705436","0.8065818109914358","0.3741964272022934","1.8304263565891472","0.362","0.155","0.09010852713178295","-0.058728682170542605","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","51.11627906976744","0.3598505959171751","0.6858478959220541","1.7986918604651163","0.018","0.034","-0.24978106386040455","-0.08534418844491523","0.24399688993642302","0.22518714636897577","-0.2774264582071475","-0.08630670443917732","-0.32909677476013244","-0.12828998842417855","-0.23264838007722605","-0.04487822898965852"
"6","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.39","link","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","53.147286821705436","0.8065818109914358","0.3741964272022934","1.8304263565891472","0.362","0.155","0.09010852713178295","-0.058728682170542605","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","57.96124031007752","0.4013276147174739","0.699500694092282","1.9056443798449612","0.147","0.121","-0.14443183685984767","-0.04848859450724706","0.21467191639699618","0.2823094601697267","-0.0831592599545682","-0.15543325696509339","-0.23954250395154864","-0.24287189137529036","-0.0542169840101871","0.18775306128713262"
"18","1","13","0.2","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","0.65","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","53.14728682170543","0.8065818109914361","0.37419642720229357","1.8304263565891472","0.363","0.155","0.09010852713178297","-0.05872868217054263","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","63.542635658914726","0.3573182665818174","0.731410470625331","1.9928536821705427","0.326","0.263","-0.11717957307609346","-0.05907803747038466","0.21722339264440563","0.6354877062780956","-0.12415317597688053","-0.5461486735765019","-0.13587569227758545","-0.5608964750274964","-0.09310623054446261","0.734856653806987"
