"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperimentPart54"
"03/30/2022 05:56:41:897 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","id_threshold","boundary","max-ticks","p-random","n-neis","mode","record-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","network-change","tolerance-level","p-speaking-level","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","cut-links-randomly?","record?","updating","set-seed?","polar_repeats","Y-opinion","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"11","106","true","2","0.05","0.15","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.077519379844961","0.8568685219838553","0.900103310284326","1.1887112403100775","0.237","0.099","-0.09207491655552219","0.07325222654542435","0.45817388622565064","0.3710207614457132","-0.2757624075858422","0.030525275726591555","-0.2930448372202956","0.010817324745388405","0.032333","0.06628298804366906"
"10","106","true","2","0.05","0.14","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.03100775193799","0.8597612275328255","0.9167963017096711","1.187984496124031","0.254","0.119","-0.15367100750366666","0.3044440589790747","0.4980993412843456","0.4377541891982411","-0.3903718669692213","0.49645334834618293","-0.40055257691930424","0.2759667767215","-0.09450000000032714","0.5069892431568609"
"9","106","true","2","0.05","0.13","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.999999999999995","0.8520701979119792","0.9057637610449634","1.1875","0.329","0.264","-0.18706421892843503","0.17679430966021004","0.5071386436968772","0.5015703709627547","-0.14191956982110257","0.269","-0.602573527797793","-0.24589526204835555","-0.12682567925389954","0.6172455641824734"
"8","106","true","2","0.05","0.12","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.031007751937981","0.8471012173435549","0.8945159451491794","1.187984496124031","0.352","0.146","0.03476244551982242","0.17341450766213004","0.4944077305701785","0.5253643769630952","-0.08980600876209564","0.08156711232309165","-0.1716315","-0.29251431722912113","0.356456572897473","0.7260726819809902"
"6","106","true","2","0.05","0.1","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.007751937984493","0.8512002902679789","0.9042048676427827","1.1876211240310077","0.32","0.102","0.013298606028854972","0.14179948085293295","0.4628484171839402","0.5165750534850778","-0.0030758454754823213","-0.11344924019800001","-0.172","-0.23955237738668025","0.20471352914730107","0.6330587578272258"
"7","106","true","2","0.05","0.11","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.999999999999991","0.8448164637632706","0.8895185300135651","1.1875","0.347","0.174","0.1071492211430513","0.19027577688096736","0.4892597214628223","0.5279575951850456","-0.055126399317229714","0.302029678003125","-0.12082981714225388","-0.2941498130550442","0.4752049429371924","0.6945118655320214"
"4","106","true","2","0.05","0.08","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.999999999999996","0.842693556459075","0.8875912336517654","1.1875","0.346","0.152","-0.0030788018368167577","0.10967719681819998","0.5229995767666998","0.5502453084891976","0.025190412641509785","-0.05946585689914446","-0.3120766732027266","-0.31908573909965776","0.2915","0.6670632660112628"
"2","106","true","2","0.05","0.06","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.999999999999991","0.8377536476995953","0.8848917162113121","1.1875","0.339","0.169","-4.7248255226799206E-4","0.0927103926928259","0.5338117719703626","0.5604264429398795","0.1","0.19810237857994656","-0.4059999996380882","-0.479906315544746","0.3493907721639963","0.6034349544442081"
"5","106","true","2","0.05","0.09","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12","0.8436680688656729","0.8969933548899862","1.1875","0.335","0.127","-0.003681375170049775","0.12819751842320126","0.482028429552726","0.5445900061934728","-0.04308946768854148","0.08648357451143604","-0.431","-0.26326049158345644","0.19654246761993438","0.6284692539047652"
"3","106","true","2","0.05","0.07","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.000000000000002","0.8379892669611547","0.8858564354016704","1.1875","0.349","0.182","-0.027507782914267892","0.06744343814027273","0.5494080735976843","0.5377066254004704","-0.090479","-0.093","-0.43519715794000924","-0.3219345028735423","0.2721218705174353","0.6078985876713945"
